LHLHLLLLHLLLHLHLLHHLHLLLHLHHLHLLLHHLLHLHHLLLHLHLHLLHLHLHLLHLHLHL
W_LIST: -2.92553 -1.6331 0.76488 0.879928 2.60491 1.15304 1.94516 -0.330205 1.44429 -0.904855 1.29215 -0.123749 -2.10246 -0.711716 -2.59669 2.17886 -0.805234 -0.661704 2.24151 -0.462979 -0.491702 -2.96447 -1.2697 0.838755 -0.89041 -0.467782 -2.41663 -2.55784 -1.53465 1.68969 -0.212321 -1.11198 1.48458 -2.46685 2.6658 -0.822648 2.22769 0.210635 1.63631 -1.68976 -2.82393 2.49932 -1.32811 -0.727129 2.63502 -2.26367 2.02324 2.33698 2.00508 0.072686 -1.96738 0.401547 0.50647 -0.842125 2.80448 -2.84088 1.4783 -0.240654 1.13105 -1.89067 -1.40093 -0.595203 -1.61034 2.87007 
st	op	ed	phy
SITE: 53	55	56	1
SITE: 53	54	57	1
SITE: 52	53	57	1
SITE: 50	51	56	0
SITE: 50	56	57	1
SITE: 52	58	59	0
SITE: 50	52	59	1
SITE: 49	50	59	0
SITE: 48	57	59	0
SITE: 32	34	35	0
SITE: 32	33	36	1
SITE: 31	32	36	1
SITE: 31	36	37	1
SITE: 30	31	37	0
SITE: 28	29	35	0
SITE: 28	35	37	0
SITE: 30	38	39	1
SITE: 28	37	39	1
SITE: 30	40	41	1
SITE: 28	39	41	1
SITE: 28	41	42	1
SITE: 30	42	44	0
SITE: 28	30	44	1
SITE: 28	44	45	0
SITE: 28	45	46	0
SITE: 27	28	46	0
SITE: 25	26	43	1
SITE: 25	27	46	1
SITE: 23	24	43	1
SITE: 23	25	46	0
SITE: 22	43	46	1
SITE: 21	22	46	0
SITE: 20	21	46	0
SITE: 19	23	46	1
SITE: 18	19	46	0
SITE: 17	18	46	0
SITE: 15	16	20	0
SITE: 15	20	46	0
SITE: 14	15	46	1
SITE: 13	14	46	1
SITE: 12	13	46	0
SITE: 11	12	46	1
SITE: 10	11	46	0
SITE: 9	10	46	1
SITE: 8	9	46	0
SITE: 7	8	46	0
SITE: 6	17	46	0
SITE: 5	6	46	1
SITE: 4	7	46	0
SITE: 3	4	46	1
SITE: 47	48	59	0
SITE: 5	47	49	1
SITE: 3	46	49	0
SITE: 3	49	59	1
SITE: 2	5	59	1
SITE: 1	2	59	1
SITE: 0	0	59	0
SITE: 1	59	60	0
SITE: 3	60	62	1
SITE: 1	1	62	1
SITE: 3	63	63	1
SITE: 3	62	62	1
SITE: 3	61	61	0
SITE: 3	3	3	1
MPS Info: -4.71178 1.00708 0.171424 
Writing MPS done!
