HLHLHHLHLHHLLHHLHLLLHLLHHLLLHLLLHHHHHHLHLHLLLHLLLLLHLLLLLLLLHLLL
W_LIST: 0.594555 0.341202 -0.658886 -2.08725 -1.56881 2.72832 -1.52776 -1.21501 -2.34311 2.81304 -1.77511 0.197503 2.08491 -0.647332 1.08402 0.927876 2.21587 -2.10296 -2.26753 0.6981 2.52046 -2.64715 0.161929 2.96396 -1.63806 -1.44834 -1.48202 1.09712 -1.64208 -1.51225 2.09887 2.23836 0.393001 -1.83647 2.4335 -1.78428 -2.40648 -0.560937 2.5574 2.22403 2.36277 0.929079 -2.51352 -0.547536 2.04951 -1.17564 -1.54345 1.52472 -1.01503 -2.4637 -2.24746 -1.51872 0.472867 1.27216 -0.105336 -1.91366 0.854298 -0.954886 -1.42028 0.482023 1.9938 0.20723 -0.906031 2.6401 
st	op	ed	phy
SITE: 20	21	23	0
SITE: 20	23	24	0
SITE: 18	20	22	0
SITE: 18	19	24	1
SITE: 16	18	22	0
SITE: 16	17	24	0
SITE: 15	16	24	0
SITE: 13	15	22	1
SITE: 13	22	24	1
SITE: 12	14	24	0
SITE: 11	12	24	1
SITE: 10	11	24	0
SITE: 9	10	24	1
SITE: 8	9	24	0
SITE: 7	8	24	0
SITE: 5	6	13	0
SITE: 5	13	24	1
SITE: 4	5	24	0
SITE: 3	4	24	1
SITE: 2	3	24	0
SITE: 1	2	24	1
SITE: 0	0	24	0
SITE: 1	24	25	1
SITE: 7	25	27	0
SITE: 1	26	27	0
SITE: 1	27	28	1
SITE: 7	28	30	1
SITE: 1	29	30	0
SITE: 7	30	32	1
SITE: 1	31	32	1
SITE: 7	33	34	1
SITE: 1	32	34	1
SITE: 1	34	35	0
SITE: 1	35	36	1
SITE: 1	36	37	1
SITE: 1	37	38	1
SITE: 1	38	39	1
SITE: 7	40	41	1
SITE: 1	39	41	0
SITE: 1	1	42	1
SITE: 7	42	43	0
SITE: 7	41	44	0
SITE: 7	44	45	1
SITE: 7	45	46	1
SITE: 7	46	47	0
SITE: 7	47	48	1
SITE: 7	48	49	0
SITE: 7	49	50	0
SITE: 43	51	52	1
SITE: 7	50	52	0
SITE: 7	43	53	0
SITE: 7	53	54	1
SITE: 7	54	55	0
SITE: 7	55	56	0
SITE: 7	56	57	1
SITE: 7	57	58	0
SITE: 7	58	59	0
SITE: 7	59	60	1
SITE: 7	60	61	0
SITE: 52	62	63	0
SITE: 7	63	63	1
SITE: 7	61	61	1
WARN: Unitary gate is identity
SITE: 7	7	7	0
WARN: Unitary gate is identity
SITE: 52	52	52	0
MPS Info: -12.0205 1.30481 0.000429687 
Writing MPS done!
