LLLLLLHLHHHLHHHLLLHLHLHHHLLLHLHLHHLLHHHLLHLHLLHHHLHHHLHLHHLLHHHL
W_LIST: -0.898043 1.45181 1.00181 0.197183 2.25894 -1.61927 2.37354 -0.883277 0.832765 1.03476 1.64201 2.98169 2.37543 -0.0893354 0.983528 -1.91399 -1.60125 1.40615 0.654151 2.76078 2.62582 2.10292 2.56936 -0.617597 -0.117708 0.0534679 0.617888 2.77344 -2.57316 0.737638 -1.87081 1.27459 2.93262 -2.37321 -1.57978 -2.11841 -0.569285 -1.24789 -1.45984 0.143474 1.31413 1.32034 -2.78711 -0.991066 2.97506 -1.74609 1.54529 0.485162 2.81063 -2.44572 1.32517 -0.161068 -1.81836 1.59591 0.676252 -1.87774 -0.55375 0.8551 -1.53186 -0.95466 1.41477 -2.83836 -0.801986 2.64706 
st	op	ed	phy
SITE: 41	42	44	0
SITE: 41	44	45	1
SITE: 41	45	46	0
SITE: 41	46	47	0
SITE: 43	48	49	0
SITE: 41	47	49	0
SITE: 41	49	50	0
SITE: 41	50	51	0
SITE: 43	52	53	1
SITE: 41	43	53	1
SITE: 40	41	53	0
SITE: 39	40	53	1
SITE: 38	51	53	1
SITE: 39	53	55	1
SITE: 38	54	55	0
SITE: 38	55	56	0
SITE: 39	57	58	0
SITE: 38	56	58	0
SITE: 39	58	60	0
SITE: 38	59	60	0
SITE: 38	60	61	0
SITE: 39	61	63	1
SITE: 38	62	63	1
SITE: 30	32	33	0
SITE: 29	30	33	1
SITE: 28	31	33	1
SITE: 27	28	33	1
SITE: 26	27	33	1
SITE: 26	33	34	1
SITE: 29	35	36	0
SITE: 29	34	37	0
SITE: 26	36	37	0
SITE: 29	38	39	1
SITE: 29	37	63	1
SITE: 26	39	63	0
SITE: 25	26	63	0
SITE: 24	25	63	1
SITE: 23	29	63	0
SITE: 22	23	63	1
SITE: 21	22	63	0
SITE: 20	21	63	1
SITE: 18	19	24	1
SITE: 18	20	63	0
SITE: 17	18	63	1
SITE: 16	17	63	1
SITE: 14	16	24	0
SITE: 14	15	63	0
SITE: 13	14	63	0
SITE: 12	24	63	1
SITE: 11	12	63	0
SITE: 10	11	63	1
SITE: 9	10	63	0
SITE: 8	9	63	0
SITE: 7	8	63	0
SITE: 6	13	63	0
SITE: 5	6	63	0
SITE: 4	5	63	0
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 0	2	7	1
SITE: 0	63	63	1
SITE: 0	1	7	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 7	7	7	0
MPS Info: 1.11596 0.918964 0.24858 
Writing MPS done!
