LLLLHLHHLLLHLHHHHLHHHLHLHHLHHHHHHHLHLHLHLLHLLLHLHLHLLLHLHHHLLHLH
W_LIST: 0.205136 -0.865413 -2.664 0.379339 -0.127741 2.21016 2.06063 -3.82899 -1.071 3.56581 2.17582 -3.42908 -1.80393 0.0569152 3.38455 2.28631 -2.25023 -2.13089 -3.41193 -1.32362 3.82503 3.9512 -0.81892 -3.41664 -2.32811 -2.75338 3.58971 -2.76636 -4.02404 0.481735 3.97144 2.85095 1.08171 -1.60565 -2.95072 2.82651 3.12103 -4.02839 0.551838 2.84487 -0.451009 -2.62707 1.21538 -0.912014 2.60383 0.620576 0.594536 -1.64446 3.9986 -2.19169 1.10417 2.88434 -2.7215 -0.253342 1.23639 -0.0336218 -2.60054 -0.827557 -0.915838 -3.18873 3.18143 -1.78034 0.875583 3.15676 
st	op	ed	phy
SITE: 6	7	9	1
SITE: 8	9	11	1
SITE: 6	8	11	0
SITE: 6	11	12	1
SITE: 6	12	13	0
SITE: 6	10	14	1
SITE: 4	5	13	1
SITE: 4	6	14	0
SITE: 2	4	13	1
SITE: 2	13	14	0
SITE: 3	14	16	0
SITE: 2	15	16	0
SITE: 1	2	16	0
SITE: 26	28	29	1
SITE: 26	27	30	1
SITE: 25	26	30	1
SITE: 25	30	31	0
SITE: 25	31	32	0
SITE: 25	32	33	0
SITE: 29	34	35	0
SITE: 25	33	35	1
SITE: 29	35	37	0
SITE: 25	36	37	1
SITE: 25	37	38	1
SITE: 25	29	39	0
SITE: 25	39	40	0
SITE: 25	38	41	1
SITE: 25	41	42	0
SITE: 25	42	43	0
SITE: 25	43	44	0
SITE: 25	44	45	1
SITE: 24	25	45	1
SITE: 22	23	40	0
SITE: 22	24	45	1
SITE: 21	40	45	1
SITE: 22	46	47	0
SITE: 21	22	47	1
SITE: 21	47	48	0
SITE: 21	48	49	0
SITE: 21	49	50	0
SITE: 45	51	52	1
SITE: 21	50	52	0
SITE: 21	52	53	0
SITE: 19	20	45	0
SITE: 19	21	53	1
SITE: 18	45	53	1
SITE: 17	18	53	1
SITE: 3	17	19	0
WARN: Unitary gate is identity
SITE: 16	16	16	1
SITE: 1	3	53	1
SITE: 1	19	54	1
SITE: 59	60	62	1
SITE: 58	59	62	0
SITE: 58	61	63	1
SITE: 0	1	54	0
SITE: 0	54	55	0
SITE: 0	0	56	1
SITE: 57	62	63	1
SITE: 56	57	63	1
SITE: 55	56	63	1
SITE: 53	63	63	0
SITE: 53	58	58	1
SITE: 53	53	55	1
WARN: Unitary gate is identity
SITE: 55	55	55	0
MPS Info: 8.50341 0.355175 0.00787252 
Writing MPS done!
