HHLHLLHLLLLLLLLHHLHHHLHHHHHLLHLLHLHLHLHLLHLLHLLLLHHLLLLHLHHHLHHH
W_LIST: 0.705573 3.92097 -1.14731 3.29759 1.62954 3.72593 -4.16776 -1.79369 3.94468 1.36992 -0.775557 -3.11996 2.22525 0.118867 4.03954 3.96925 0.656742 2.25563 0.909374 -3.09307 3.83673 -1.5168 3.44529 1.51495 -0.160852 2.07644 -4.17099 0.750528 -4.12742 -2.59924 -2.46468 -2.58528 0.0313645 -0.99909 2.59909 -3.87212 -1.33807 3.88919 1.43813 -2.0492 -1.23359 -1.25133 -2.81192 -3.62587 2.04043 -4.10584 2.93593 -2.42603 1.09258 1.14108 0.834668 1.03662 3.0195 1.78107 1.32316 -2.0281 2.57236 1.37186 2.40254 1.981 -2.21209 1.87845 1.55329 -2.83786 
st	op	ed	phy
SITE: 5	6	8	1
SITE: 5	8	9	1
SITE: 4	5	9	1
SITE: 2	3	7	0
SITE: 2	7	9	0
SITE: 1	4	9	1
SITE: 0	1	9	0
SITE: 0	0	10	0
SITE: 2	9	11	1
SITE: 2	11	12	0
SITE: 2	12	13	1
SITE: 2	10	14	0
SITE: 34	35	37	0
SITE: 33	34	37	0
SITE: 33	37	38	1
SITE: 33	36	39	1
SITE: 31	33	38	0
SITE: 31	38	39	0
SITE: 18	20	21	0
SITE: 18	19	22	1
SITE: 17	21	22	0
SITE: 17	22	23	0
SITE: 17	23	24	0
SITE: 18	25	26	0
SITE: 17	24	26	0
SITE: 17	26	27	1
SITE: 17	27	28	1
SITE: 17	28	29	0
SITE: 45	46	48	1
SITE: 44	45	48	0
SITE: 43	47	48	0
SITE: 42	43	48	0
SITE: 41	44	48	0
SITE: 41	42	49	0
SITE: 40	48	49	1
SITE: 2	14	15	1
SITE: 2	15	16	0
SITE: 2	13	17	0
SITE: 2	17	18	1
SITE: 2	2	29	0
SITE: 16	29	30	1
SITE: 18	30	32	0
SITE: 18	31	39	0
SITE: 16	32	39	0
SITE: 40	41	50	1
SITE: 18	40	49	0
SITE: 18	39	50	0
SITE: 16	16	50	0
SITE: 18	50	51	0
SITE: 18	51	52	1
SITE: 18	52	53	1
SITE: 18	53	54	1
SITE: 18	54	55	1
SITE: 18	55	56	1
SITE: 18	56	57	1
SITE: 18	49	58	0
SITE: 18	58	59	0
SITE: 18	59	60	0
SITE: 18	60	61	0
SITE: 57	61	63	0
SITE: 18	63	63	1
SITE: 18	62	62	0
WARN: Unitary gate is identity
SITE: 57	57	57	0
WARN: Unitary gate is identity
SITE: 18	18	18	1
MPS Info: -8.18135 0.981244 2.65061e-06 
Writing MPS done!
