HLHHLHLLHHHLHHLLHLLLHLHLHLHHHLHLHHHLLLLHHLLHHLLHHLLHLHLHLHLLLHHH
W_LIST: -0.527993 0.02671 3.61098 -0.815261 -2.98115 -0.427789 1.20837 0.904561 0.241603 -4.28541 -4.47106 2.97329 0.393522 -2.33899 -3.09445 2.49724 -3.20839 -4.48323 -3.33506 1.89048 3.66331 1.74279 1.66761 0.975328 -2.59309 -3.68793 -3.01878 0.565914 -0.325658 -1.27336 1.99291 -0.672221 4.57835 2.73156 -3.83542 1.61153 -0.959247 -3.53122 3.53573 -3.04413 1.8746 -0.208759 -1.09977 1.64326 -3.32981 -2.6137 3.12584 0.551132 -4.26672 -1.00223 2.30973 0.131852 -1.67619 -4.53301 -2.03142 2.677 1.82419 -2.22404 0.928162 1.31435 -1.97154 -3.87071 2.64553 2.65048 
st	op	ed	phy
SITE: 45	46	48	1
SITE: 45	48	49	1
SITE: 45	49	50	0
SITE: 47	50	52	1
SITE: 45	47	52	1
SITE: 45	52	53	0
SITE: 51	53	55	1
SITE: 45	54	55	0
SITE: 51	55	57	0
SITE: 45	56	57	1
SITE: 45	57	58	1
SITE: 51	59	60	1
SITE: 45	58	60	0
SITE: 51	61	62	1
SITE: 45	60	62	0
SITE: 43	44	51	1
SITE: 43	45	62	0
SITE: 42	43	62	0
SITE: 31	32	34	0
SITE: 31	34	35	1
SITE: 31	33	36	0
SITE: 29	30	35	0
SITE: 29	35	36	1
SITE: 31	37	38	0
SITE: 29	36	38	0
SITE: 29	38	39	1
SITE: 29	39	40	1
SITE: 29	40	41	0
SITE: 31	42	51	0
SITE: 31	41	62	1
SITE: 29	31	62	1
SITE: 10	11	13	1
SITE: 8	10	12	1
SITE: 8	9	13	1
SITE: 7	8	13	1
SITE: 5	6	12	1
SITE: 5	12	13	1
SITE: 7	14	15	0
SITE: 5	13	15	1
SITE: 5	15	16	1
SITE: 4	5	16	1
SITE: 3	4	16	0
SITE: 2	3	16	1
SITE: 1	2	16	0
SITE: 0	0	16	1
SITE: 1	16	17	1
SITE: 7	17	19	0
SITE: 1	18	19	0
SITE: 1	19	20	1
SITE: 1	20	21	0
SITE: 28	29	62	0
SITE: 26	27	51	0
SITE: 26	28	62	0
SITE: 25	26	62	1
SITE: 23	25	51	0
WARN: Unitary gate is identity
SITE: 24	24	24	1
SITE: 22	23	62	1
SITE: 7	21	51	1
WARN: Unitary gate is identity
SITE: 22	22	22	0
SITE: 1	1	62	1
SITE: 7	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 51	51	51	0
WARN: Unitary gate is identity
SITE: 7	7	7	0
MPS Info: 5.47918 0.651534 0.0445783 
Writing MPS done!
