HLLHHLLLLHLLLLHHHHHHHLHHLHLHLLHHHLLHLLHLLHLLLLHLLHLHHLLHHHLLHLLL
W_LIST: 1.00564 -1.3149 -0.917829 -1.97775 0.127798 -0.307969 3.34301 2.79424 1.73789 -3.50279 -3.71867 -2.52095 3.66042 -1.57225 0.352072 0.0260742 -4.51043 3.20633 -1.11268 3.29098 -0.851907 -0.691663 3.18336 1.43082 0.929873 0.168018 -1.20868 -2.50758 -1.60505 -2.12487 1.55663 1.94653 0.898815 0.918636 -0.388536 2.58624 -0.227065 -3.39978 -4.13513 -3.03533 1.50905 2.8381 0.316603 0.675345 -0.982619 4.13013 4.14392 0.198059 -2.95295 2.96556 -1.02572 -4.09644 4.13697 2.00572 3.70256 1.29251 0.606313 1.69691 -4.60208 -4.60287 1.17589 -0.527959 1.71311 3.01851 
st	op	ed	phy
SITE: 49	51	52	1
SITE: 48	49	52	0
SITE: 47	48	52	0
SITE: 46	50	52	0
SITE: 46	52	53	0
SITE: 47	54	55	1
SITE: 46	53	55	1
SITE: 15	16	18	1
SITE: 15	17	19	0
SITE: 13	14	18	0
SITE: 13	18	19	1
SITE: 12	13	19	0
SITE: 11	12	19	1
SITE: 11	19	20	0
SITE: 15	21	22	0
SITE: 11	15	22	1
SITE: 11	22	23	0
SITE: 11	23	24	0
SITE: 11	24	25	1
SITE: 11	20	26	1
SITE: 11	26	27	0
SITE: 11	27	28	1
SITE: 25	29	30	0
SITE: 11	28	30	0
SITE: 10	11	30	0
SITE: 8	10	25	0
SITE: 8	9	30	1
SITE: 7	8	30	1
SITE: 5	6	25	1
SITE: 5	7	30	1
SITE: 3	5	25	0
SITE: 3	4	30	0
SITE: 2	3	30	1
SITE: 0	1	25	0
SITE: 0	0	30	0
SITE: 45	46	55	0
SITE: 44	45	55	1
SITE: 43	47	55	1
SITE: 42	44	55	0
SITE: 41	43	55	1
SITE: 40	41	55	0
SITE: 39	40	55	1
SITE: 38	39	55	0
SITE: 36	38	42	1
SITE: 36	37	55	0
SITE: 35	42	55	0
SITE: 34	35	55	0
SITE: 33	36	55	1
SITE: 2	30	31	0
SITE: 2	31	32	0
SITE: 25	33	34	1
SITE: 2	2	34	0
SITE: 25	34	55	0
SITE: 25	55	56	0
SITE: 32	57	58	0
SITE: 25	56	58	0
SITE: 32	59	60	0
SITE: 25	58	60	0
SITE: 25	60	61	0
SITE: 25	32	62	0
SITE: 25	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 61	61	61	0
WARN: Unitary gate is identity
SITE: 25	25	25	0
MPS Info: -3.4169 0.757748 0.152602 
Writing MPS done!
