HHHLHHLHLLLLHLLHHLHLLLHHHLLHHHHHHHHLHHLHHLLHHLLHHHHHLHLHHLLLHHHH
W_LIST: 1.25504 -3.12346 0.522581 -0.0871644 -0.468391 -2.962 0.20927 0.26017 1.50927 1.72217 2.90674 0.548895 -1.49802 -0.805879 2.05044 2.79185 -2.36009 1.24827 0.968597 -0.703797 3.37141 -0.580811 -3.84487 0.507684 -0.181994 2.5306 -1.14527 -3.28832 -2.28493 3.13751 -3.14711 -2.03745 -0.446294 -1.8883 0.371508 -0.567155 0.672102 -1.43376 -3.77139 -1.55572 2.42742 2.50967 0.928268 -3.23708 2.21222 2.06628 0.105016 1.31095 3.96207 -0.206167 -3.24557 -3.73187 -2.06605 3.57557 -0.0602856 3.60599 -2.08227 0.758612 1.17177 -2.58158 -2.32407 3.65625 -0.581985 -2.01761 
st	op	ed	phy
SITE: 20	22	23	1
SITE: 19	20	23	1
SITE: 18	21	23	0
SITE: 19	24	25	1
SITE: 18	19	25	0
SITE: 18	25	26	1
SITE: 18	26	27	0
SITE: 23	27	29	1
SITE: 18	28	29	1
SITE: 18	29	30	0
SITE: 16	18	23	0
SITE: 16	17	30	1
SITE: 15	16	30	1
SITE: 23	30	32	1
SITE: 15	31	32	1
SITE: 23	33	34	1
SITE: 15	32	34	1
SITE: 13	15	23	0
SITE: 13	14	34	1
SITE: 12	13	34	0
SITE: 11	12	34	1
SITE: 10	11	34	1
SITE: 9	10	34	1
SITE: 9	34	35	0
SITE: 9	35	36	0
SITE: 9	36	37	0
SITE: 9	37	38	1
SITE: 23	38	40	0
SITE: 9	39	40	1
SITE: 23	41	42	1
SITE: 9	40	42	0
SITE: 23	43	44	1
SITE: 9	42	44	1
SITE: 8	9	44	1
SITE: 7	8	44	1
SITE: 5	7	23	1
SITE: 5	23	44	1
SITE: 4	5	44	1
SITE: 3	4	44	1
SITE: 2	3	44	0
SITE: 1	2	44	0
SITE: 0	1	44	1
SITE: 6	45	46	1
SITE: 0	44	46	0
SITE: 0	46	47	0
SITE: 6	48	49	0
SITE: 0	47	49	0
SITE: 0	0	50	0
SITE: 6	50	51	1
SITE: 49	51	53	1
SITE: 6	52	53	0
SITE: 6	53	54	0
SITE: 49	55	56	0
SITE: 6	54	56	1
SITE: 6	56	57	1
SITE: 49	58	59	1
SITE: 6	57	59	0
SITE: 49	59	61	0
SITE: 6	60	61	1
SITE: 6	61	62	0
SITE: 6	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 6	6	6	0
WARN: Unitary gate is identity
SITE: 49	49	49	1
MPS Info: 19.281 0.964405 0.00256265 
Writing MPS done!
