HLHHLHHLLLLHLLLHHHHHLLHLLHHHLHHHHLHLLHLHLLHLHLHHHHHHLLLHLHHHHLLL
W_LIST: -0.272796 2.77894 -3.86207 -2.34541 -1.74136 0.641472 -0.342702 2.58265 2.3772 -2.6774 -3.26355 -3.4533 2.61145 -0.00465293 2.52153 0.557381 3.23584 1.9793 0.856135 0.41185 3.52271 0.701345 3.30427 0.288013 3.84723 0.994739 2.48537 2.19562 -3.62187 3.29119 1.61437 -0.344403 1.96957 -2.04362 0.147319 0.799215 -0.997572 -3.03554 -0.308964 -0.850865 0.3063 -3.69776 -3.15688 1.66452 2.92584 -3.06052 -1.61372 -0.797129 -1.62159 2.89658 1.26898 -3.62857 0.182446 -2.11339 1.06199 1.81141 0.81899 -2.79628 -3.91152 0.27857 -0.0785737 2.97541 0.182797 0.45392 
st	op	ed	phy
SITE: 42	44	45	0
SITE: 42	45	46	0
SITE: 40	41	43	0
SITE: 40	42	46	1
SITE: 39	43	46	1
SITE: 38	40	46	1
SITE: 37	39	46	1
SITE: 36	37	46	1
SITE: 35	36	46	0
SITE: 34	35	46	1
SITE: 33	38	46	0
SITE: 32	33	46	0
SITE: 31	32	46	0
SITE: 30	34	46	0
SITE: 29	30	46	0
SITE: 28	29	46	0
SITE: 27	28	46	0
SITE: 26	27	46	0
SITE: 25	26	46	0
SITE: 24	25	46	0
SITE: 23	24	46	1
SITE: 22	31	46	0
SITE: 21	22	46	0
SITE: 20	21	46	1
SITE: 19	20	46	1
SITE: 18	19	46	1
SITE: 17	18	46	0
SITE: 16	17	46	0
SITE: 15	16	46	0
SITE: 14	15	46	0
SITE: 13	14	46	1
SITE: 11	12	23	1
SITE: 11	13	46	0
SITE: 10	11	46	1
SITE: 8	10	23	0
SITE: 8	9	46	0
SITE: 6	8	23	1
SITE: 6	7	46	1
SITE: 5	6	46	1
SITE: 4	5	46	0
SITE: 3	4	46	0
SITE: 1	2	23	1
SITE: 1	3	46	1
SITE: 0	1	46	1
SITE: 0	46	47	1
SITE: 23	48	49	1
SITE: 0	47	49	1
SITE: 23	49	51	0
SITE: 23	51	52	1
WARN: Unitary gate is identity
SITE: 50	50	50	0
SITE: 23	53	54	0
SITE: 23	54	55	1
SITE: 23	55	56	0
WARN: Unitary gate is identity
SITE: 0	0	0	1
SITE: 23	56	57	1
SITE: 52	58	59	1
SITE: 23	57	59	1
SITE: 52	60	61	1
SITE: 23	59	61	1
SITE: 23	61	62	1
SITE: 23	63	63	1
SITE: 23	62	62	0
WARN: Unitary gate is identity
SITE: 52	52	52	1
WARN: Unitary gate is identity
SITE: 23	23	23	1
MPS Info: 7.07833 0.713414 3.82031e-07 
Writing MPS done!
