HHLHHHLHHLLLHHLHLLLHLLHLHHLHHHLHLHLHHHHLHLLHHLLLHHLHLLHHHLHLLHHH
W_LIST: -4.91599 1.42807 1.72143 -4.75792 2.76834 -2.89011 1.74986 4.81726 -0.301915 3.35967 -1.00294 0.737247 -2.28783 -3.2091 1.47678 -0.985003 3.26203 -0.284866 1.59037 -3.91101 4.08921 -4.19088 -2.85574 1.26191 -0.320393 -3.1949 -0.541728 2.3236 0.518251 3.77117 4.43711 3.43314 3.62705 -2.10223 1.0925 -4.39711 -5.31474 2.35826 -3.59276 -3.95142 -1.77268 -1.43308 1.46384 3.94383 1.04599 -4.90376 4.72037 -3.29512 -1.16006 2.11647 4.964 -5.24801 1.91476 -1.39448 -3.07121 -1.07247 0.153503 -0.175364 4.44835 -0.402244 1.57894 -3.97361 -2.81364 1.38491 
st	op	ed	phy
SITE: 44	45	47	0
SITE: 43	46	47	1
SITE: 43	47	48	0
SITE: 43	44	49	0
SITE: 42	43	49	0
SITE: 41	42	49	1
SITE: 48	50	51	1
SITE: 41	49	51	0
SITE: 41	51	52	1
SITE: 41	52	53	1
SITE: 2	3	5	1
SITE: 2	5	6	1
SITE: 41	53	54	0
SITE: 41	54	55	1
SITE: 41	55	56	1
SITE: 32	33	35	1
SITE: 48	57	58	0
SITE: 41	48	58	1
SITE: 41	58	59	0
SITE: 41	59	60	0
SITE: 41	60	61	1
SITE: 56	61	63	1
SITE: 41	62	63	1
SITE: 18	20	21	1
SITE: 16	18	19	1
SITE: 16	19	21	1
SITE: 17	21	23	0
SITE: 16	22	23	1
SITE: 17	23	25	1
SITE: 16	17	25	0
SITE: 15	16	25	1
SITE: 13	14	24	1
SITE: 13	15	25	1
SITE: 11	13	24	1
SITE: 11	12	25	1
SITE: 9	10	24	0
SITE: 9	11	25	1
SITE: 8	9	25	1
SITE: 7	24	25	1
SITE: 6	7	25	0
SITE: 2	4	8	0
SITE: 2	6	25	1
SITE: 2	25	26	1
SITE: 2	26	27	0
SITE: 2	27	28	0
SITE: 2	28	29	0
SITE: 0	0	8	1
SITE: 1	2	29	1
SITE: 34	36	37	1
SITE: 32	35	37	1
SITE: 32	37	38	0
SITE: 34	39	40	0
SITE: 32	38	40	1
SITE: 34	41	56	0
SITE: 34	40	63	1
SITE: 32	34	63	1
SITE: 31	32	63	1
SITE: 30	31	63	0
SITE: 8	30	56	1
SITE: 8	29	63	0
SITE: 1	63	63	0
SITE: 1	8	56	1
WARN: Unitary gate is identity
SITE: 1	1	1	0
WARN: Unitary gate is identity
SITE: 56	56	56	1
MPS Info: 15.4269 0.46019 0.643366 
Writing MPS done!
