HLLHLLLHHLLHLLHLHHLHHLLLLHHLHLHLLLLLHLLHLHLHLLHHLLHHHLHLLLHHHLHL
W_LIST: 0.0121057 -4.73767 -4.66288 2.65973 -1.24665 1.37653 4.37529 3.53995 -4.20962 3.05542 1.91311 3.78129 -5.25019 -2.59903 -2.7331 4.92789 -0.091353 0.271758 1.50474 -0.0158076 4.20441 -4.73746 -3.50361 -3.47392 -0.29814 1.72708 -2.34583 4.97638 -0.499727 -5.24896 5.01692 3.19941 3.94369 3.87094 2.44465 4.25757 4.07392 -4.95281 5.13506 1.15385 1.18081 1.4547 4.44472 -1.46109 -4.50207 1.85255 -4.20261 -0.331701 2.20266 2.95613 2.31008 -2.12364 5.14968 -2.6805 -2.21667 0.606803 -2.20596 0.163554 5.14636 -2.79302 1.76587 0.0765468 3.86012 -4.34749 
st	op	ed	phy
SITE: 26	27	29	1
SITE: 26	29	30	0
SITE: 25	26	30	1
SITE: 25	30	31	0
SITE: 24	25	31	0
SITE: 23	28	31	1
SITE: 42	44	45	0
SITE: 42	45	46	1
SITE: 42	46	47	1
SITE: 41	42	47	1
SITE: 41	43	48	1
SITE: 36	38	39	1
SITE: 57	58	60	0
SITE: 56	59	60	1
SITE: 57	60	62	0
SITE: 56	57	62	1
SITE: 56	62	63	0
SITE: 55	56	63	0
SITE: 54	55	63	1
SITE: 52	54	61	1
SITE: 52	53	63	0
SITE: 51	52	63	0
SITE: 50	51	63	1
SITE: 49	50	63	0
SITE: 47	49	61	1
SITE: 47	48	63	1
SITE: 41	47	63	1
SITE: 2	3	5	0
SITE: 2	5	6	1
SITE: 0	1	4	0
SITE: 0	2	6	0
SITE: 4	6	8	1
SITE: 0	7	8	0
SITE: 0	8	9	1
SITE: 4	9	11	1
SITE: 0	4	11	0
SITE: 0	11	12	0
SITE: 0	12	13	0
SITE: 10	14	15	1
SITE: 0	13	15	0
SITE: 0	15	16	1
SITE: 0	10	17	1
SITE: 0	16	18	1
SITE: 36	37	40	0
SITE: 40	61	63	1
SITE: 39	40	63	1
SITE: 36	41	63	0
SITE: 18	20	21	0
SITE: 0	18	19	1
SITE: 0	0	21	0
SITE: 22	23	31	0
SITE: 19	21	24	0
SITE: 19	22	31	0
SITE: 17	24	31	1
SITE: 34	36	39	0
SITE: 34	35	63	1
SITE: 33	34	63	1
SITE: 32	33	63	1
SITE: 19	32	39	1
SITE: 19	31	63	1
SITE: 17	63	63	0
SITE: 17	17	39	1
WARN: Unitary gate is identity
SITE: 19	19	19	1
WARN: Unitary gate is identity
SITE: 39	39	39	1
MPS Info: -20.7798 0.390457 1.53232e-13 
Writing MPS done!
