LLLLLHLHHLHLLHLLLHLLHLHHLHLLLHHLHHHLHHHHLLHLLHHLLLLHHHHLLHHLHHHH
W_LIST: -0.0817959 -2.62752 -4.78371 1.21348 -4.18008 -4.08391 -2.1627 -1.81469 0.299687 1.39965 3.01266 -3.64441 4.92729 -1.95082 -1.20984 -4.1134 -1.65557 3.52817 -1.25125 -2.53966 -1.00319 2.01054 3.80302 0.155503 -4.272 -1.03832 -3.59643 -0.866302 -1.58133 5.15466 -3.69452 4.94983 3.61388 -0.442576 -3.44744 -1.87059 0.0581226 -2.06082 3.74837 -2.08306 3.65265 -0.140791 -0.383096 -3.20632 0.263118 -4.96012 -1.02453 2.15068 3.7768 -4.81298 -0.509713 -0.136502 1.25804 -2.7144 4.02127 -4.27147 -1.38165 -3.47385 -2.77325 3.32803 3.96322 1.04859 0.290982 -3.1094 
st	op	ed	phy
SITE: 10	12	13	1
SITE: 11	13	15	1
SITE: 10	11	15	0
SITE: 9	10	15	0
SITE: 8	9	15	1
SITE: 7	14	15	0
SITE: 8	15	17	0
SITE: 7	16	17	0
SITE: 7	17	18	0
SITE: 7	18	19	0
SITE: 8	19	21	0
SITE: 7	20	21	1
SITE: 8	22	23	0
SITE: 7	21	23	1
SITE: 7	23	24	0
SITE: 7	24	25	0
SITE: 7	25	26	1
SITE: 7	26	27	0
SITE: 8	28	29	0
SITE: 7	27	29	1
SITE: 7	29	30	0
SITE: 7	30	31	1
SITE: 8	31	33	1
SITE: 7	32	33	0
SITE: 7	8	34	1
SITE: 7	34	35	1
SITE: 7	35	36	0
SITE: 33	37	38	1
SITE: 7	33	38	1
SITE: 7	38	39	0
SITE: 7	39	40	1
SITE: 7	40	41	1
SITE: 52	54	55	0
SITE: 52	55	56	0
SITE: 52	53	57	1
SITE: 51	52	57	0
SITE: 49	50	56	0
SITE: 49	51	57	0
SITE: 48	49	57	0
SITE: 46	48	56	1
SITE: 46	47	57	1
SITE: 44	45	56	1
SITE: 44	46	57	1
SITE: 43	56	57	0
SITE: 44	57	59	1
SITE: 43	58	59	1
SITE: 44	60	61	0
WARN: Unitary gate is identity
SITE: 59	59	59	1
SITE: 44	61	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
SITE: 42	43	63	0
SITE: 36	41	44	0
SITE: 7	42	44	0
SITE: 7	44	63	1
SITE: 0	2	3	0
SITE: 0	1	4	0
SITE: 5	7	36	1
SITE: 5	6	63	0
SITE: 3	4	36	0
SITE: 3	5	63	1
SITE: 0	63	63	1
SITE: 0	3	36	1
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 36	36	36	0
MPS Info: -3.76511 0.484149 0.335433 
Writing MPS done!
