LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.164819 -0.485331 -4.60089 -0.218354 3.32691 1.04657 1.83801 3.27455 4.51125 -0.240254 3.85761 -0.384722 4.16959 -1.22196 0.294013 -2.34024 -3.02045 -3.63547 -3.75913 -4.75001 4.17374 -1.78373 0.421822 3.55059 2.26468 -3.56821 -4.54694 3.7064 -2.49806 4.595 -1.63786 -3.71459 3.08074 -4.46162 1.23872 2.49649 -3.71264 0.779708 2.21546 -4.99059 -4.25471 -1.62878 -4.88829 -4.64499 4.71698 -1.0439 2.02022 4.34621 -4.98035 -1.80309 -3.12336 1.73606 -2.47055 -2.57814 -0.375968 1.41675 -0.522824 3.32904 -0.0308339 -1.13594 -4.22084 1.89553 -3.07519 -1.75546 
st	op	ed	phy
SITE: 26	27	29	1
SITE: 26	29	30	1
SITE: 28	31	32	1
SITE: 26	28	32	0
SITE: 26	32	33	1
SITE: 26	33	34	1
SITE: 30	35	36	0
SITE: 26	30	36	0
SITE: 26	36	37	0
SITE: 24	26	34	0
SITE: 24	25	37	0
SITE: 22	23	34	0
SITE: 22	24	37	0
SITE: 20	21	34	0
SITE: 20	22	37	1
SITE: 19	20	37	1
SITE: 18	19	37	0
SITE: 43	44	46	1
SITE: 45	47	48	0
SITE: 43	46	48	0
SITE: 43	48	49	0
SITE: 45	50	51	1
SITE: 43	49	51	1
SITE: 43	51	52	1
SITE: 34	38	39	1
SITE: 18	34	39	0
SITE: 37	39	41	1
SITE: 18	40	41	0
SITE: 18	41	42	1
SITE: 37	42	45	1
SITE: 18	43	45	0
SITE: 18	45	52	1
SITE: 59	60	62	0
SITE: 59	62	63	0
SITE: 37	52	54	0
SITE: 18	53	54	1
SITE: 18	54	55	0
SITE: 37	55	57	1
WARN: Unitary gate is identity
SITE: 56	56	56	0
SITE: 18	57	58	1
SITE: 37	58	61	0
SITE: 18	37	61	0
SITE: 18	61	63	1
SITE: 17	18	63	1
SITE: 16	17	63	0
SITE: 14	16	59	0
SITE: 14	15	63	1
SITE: 12	13	59	1
SITE: 12	14	63	0
SITE: 11	12	63	0
SITE: 10	59	63	1
SITE: 9	10	63	1
SITE: 8	9	63	0
SITE: 7	8	63	0
SITE: 6	7	63	0
SITE: 4	6	11	0
SITE: 4	5	63	0
SITE: 3	4	63	1
SITE: 2	3	63	0
SITE: 1	2	63	0
SITE: 0	63	63	0
SITE: 0	0	11	0
SITE: 1	1	11	1
WARN: Unitary gate is identity
SITE: 11	11	11	0
MPS Info: -21.4693 0.741682 0.00489045 
Writing MPS done!
