HHHHLLLLHLLLHHLHLHHLLHLLHLHLLLLLHHLLLHHLHLLHHLHHLLHHLLHLLLHHLLHH
W_LIST: -4.25276 5.24779 -5.99491 1.10346 4.68424 -5.1995 1.34885 5.0356 -5.36345 -4.16753 3.92941 5.32745 -3.95227 -2.71112 5.19238 5.3774 -2.0325 3.50173 -1.33624 -0.147532 -1.22656 -0.275259 4.82806 -4.82659 1.17221 -5.32436 0.474645 5.78512 -0.920652 -4.58189 1.35154 2.76937 0.800821 -5.54122 -2.02239 5.58732 1.13879 3.8527 -3.14915 2.34483 -1.38177 0.403427 -2.94794 -5.04611 4.98029 -2.28783 3.38016 -3.08092 4.41249 2.87311 1.66686 3.2085 1.68501 4.03015 3.8053 -0.226182 3.43672 1.80334 5.28882 -3.23514 1.3036 -5.23906 -5.30694 -1.66054 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 1	4	5	1
SITE: 0	1	5	0
SITE: 0	5	6	0
SITE: 3	7	8	1
SITE: 0	0	8	1
SITE: 6	8	10	1
SITE: 3	9	10	0
SITE: 6	11	12	1
SITE: 3	10	12	1
SITE: 6	12	14	1
SITE: 3	13	14	1
SITE: 6	15	16	0
SITE: 3	14	16	1
SITE: 3	16	17	0
SITE: 3	17	18	0
SITE: 58	59	61	1
SITE: 57	58	61	0
SITE: 43	44	46	0
SITE: 43	46	47	0
SITE: 43	47	48	1
SITE: 55	56	60	1
SITE: 55	57	61	1
SITE: 54	60	61	1
SITE: 32	33	35	1
SITE: 32	35	36	1
SITE: 34	37	38	0
SITE: 32	34	38	0
SITE: 32	38	39	1
SITE: 32	39	40	1
SITE: 31	36	40	1
SITE: 31	40	41	1
SITE: 31	32	42	0
SITE: 41	43	45	1
SITE: 31	42	45	0
SITE: 31	45	48	0
SITE: 29	31	41	1
SITE: 29	30	48	1
SITE: 27	29	41	0
SITE: 27	41	48	1
SITE: 26	27	48	1
SITE: 25	28	48	0
SITE: 24	25	48	0
SITE: 23	24	48	0
SITE: 22	23	48	0
SITE: 21	22	48	1
SITE: 21	48	49	1
SITE: 55	61	63	0
SITE: 54	62	63	1
SITE: 26	49	51	1
SITE: 21	50	51	0
SITE: 21	51	52	0
SITE: 21	52	53	1
SITE: 26	54	55	0
SITE: 26	53	63	1
SITE: 21	26	63	0
SITE: 3	6	19	1
SITE: 19	20	55	0
SITE: 19	55	63	1
SITE: 3	18	21	1
SITE: 3	63	63	1
SITE: 3	19	21	1
WARN: Unitary gate is identity
SITE: 21	21	21	1
WARN: Unitary gate is identity
SITE: 3	3	3	0
MPS Info: -7.79049 0.282315 0.163584 
Writing MPS done!
