LLLHHLLLHHHHLLLHHHHHLLLLHHHHHHLHHHLLLHHHLHHHLHLLLHHLHHHHHHHLHHHL
W_LIST: 3.26945 -3.42039 4.98716 -4.04323 4.16749 -0.242253 -4.94723 -5.96921 4.16418 -3.50236 -3.81924 1.68002 -3.08071 -1.03713 4.8909 -3.14818 4.51614 2.02905 1.4288 -5.95948 5.08954 -4.02504 -5.94963 2.42874 5.73327 5.18107 0.774375 4.81408 -3.71389 -3.83224 1.4425 5.87805 -3.58033 -1.15144 3.93779 4.58492 0.650365 -4.20816 -3.20086 -3.89682 1.47232 -4.4228 2.2313 -0.376701 1.75696 2.00082 -5.35363 -0.199588 -2.11053 -3.07295 -5.61524 1.28147 0.811321 -0.99857 0.15006 -0.118426 -0.787426 -4.7667 -1.04591 -1.54519 5.5665 3.62419 1.00519 4.36034 
st	op	ed	phy
SITE: 18	19	21	1
SITE: 20	22	23	0
SITE: 18	20	23	1
SITE: 18	21	24	0
SITE: 29	31	32	0
SITE: 30	32	34	1
SITE: 29	30	34	1
SITE: 27	29	33	1
SITE: 27	28	34	1
SITE: 26	27	34	0
SITE: 25	33	34	1
SITE: 26	35	36	1
SITE: 25	34	36	1
SITE: 25	26	37	0
SITE: 23	24	36	0
SITE: 23	25	37	0
SITE: 18	23	37	1
SITE: 16	17	36	0
SITE: 16	18	37	0
SITE: 15	16	37	0
SITE: 14	15	37	1
SITE: 13	14	37	1
SITE: 11	12	36	0
SITE: 11	13	37	0
SITE: 10	11	37	0
SITE: 8	9	36	1
WARN: Unitary gate is identity
SITE: 10	10	10	1
SITE: 7	8	37	0
SITE: 5	7	36	0
SITE: 5	6	37	0
SITE: 3	4	36	0
SITE: 3	5	37	1
SITE: 2	3	37	1
SITE: 1	2	37	1
SITE: 0	1	37	0
SITE: 0	37	38	1
SITE: 36	39	40	1
SITE: 0	38	40	1
SITE: 0	0	41	1
SITE: 36	41	42	1
SITE: 36	42	43	0
SITE: 36	40	44	1
SITE: 45	46	48	0
SITE: 43	45	47	0
SITE: 36	44	47	1
SITE: 36	47	48	1
SITE: 43	49	50	1
SITE: 36	48	50	0
SITE: 36	50	51	1
SITE: 59	60	62	0
SITE: 59	61	63	0
SITE: 57	59	62	0
SITE: 57	62	63	0
SITE: 56	57	63	1
SITE: 43	52	53	0
SITE: 36	51	53	1
SITE: 36	36	54	0
SITE: 55	58	63	1
SITE: 54	56	63	1
SITE: 53	55	63	1
SITE: 43	63	63	1
SITE: 43	43	54	1
SITE: 53	53	54	1
WARN: Unitary gate is identity
SITE: 54	54	54	1
MPS Info: 24.7837 0.191156 0.0204891 
Writing MPS done!
