LLLHHLLLHHLLLLLLLHHHHHLHHLHHHHLLLLHLLHHLHHHLLHHHLLHHLHLHLLLLHLLL
W_LIST: -4.15253 -0.139774 -4.54215 6.0051 -5.69418 -3.61565 5.50467 -4.83482 1.85113 5.58793 -0.186974 6.71509 1.9027 -3.06282 -6.88334 -5.00567 2.32824 -2.82327 5.427 -3.03267 -1.41207 4.83913 -1.47362 2.34152 4.87123 1.59627 2.00758 -1.5652 -1.24121 3.67367 5.17198 -5.55744 -0.763726 -5.48417 6.61253 -4.31066 -5.88012 3.29459 -2.2412 -5.17626 -2.8772 2.69474 4.05009 3.72557 4.89955 3.69001 -6.27133 -4.85791 0.449944 -5.2602 1.50899 0.756167 -2.7531 -6.00928 4.5798 -3.4882 -1.62784 5.65953 -2.46512 4.58319 6.80155 -0.197337 -5.09584 2.37165 
st	op	ed	phy
SITE: 15	17	18	1
SITE: 15	18	19	0
SITE: 16	19	21	1
SITE: 15	16	21	1
SITE: 15	21	22	0
SITE: 13	14	20	0
SITE: 13	15	22	0
SITE: 12	13	22	0
SITE: 10	11	20	1
SITE: 10	12	22	1
SITE: 9	20	22	1
SITE: 8	9	22	0
SITE: 6	7	10	0
SITE: 6	8	22	0
SITE: 5	6	22	1
SITE: 3	4	10	1
SITE: 3	5	22	0
SITE: 2	3	22	0
SITE: 1	2	22	0
SITE: 0	0	22	0
SITE: 1	22	23	0
SITE: 10	24	25	0
SITE: 1	23	25	0
SITE: 60	62	63	0
SITE: 58	60	61	0
SITE: 58	59	63	1
SITE: 57	58	63	0
SITE: 56	57	63	1
SITE: 54	55	61	1
SITE: 54	56	63	0
SITE: 53	54	63	1
SITE: 52	53	63	1
SITE: 51	52	63	0
SITE: 32	34	35	0
SITE: 31	33	35	0
SITE: 30	31	35	0
SITE: 32	36	37	0
SITE: 30	35	37	0
SITE: 30	37	38	0
SITE: 30	38	39	1
SITE: 32	39	41	0
SITE: 30	40	41	1
SITE: 28	30	32	1
SITE: 28	29	41	0
SITE: 28	41	42	0
SITE: 26	27	32	1
SITE: 26	28	42	1
SITE: 10	25	32	1
SITE: 10	26	42	0
SITE: 1	1	42	1
SITE: 49	50	61	0
SITE: 49	51	63	0
SITE: 48	49	63	0
SITE: 47	48	63	1
SITE: 45	46	61	1
SITE: 45	47	63	1
SITE: 44	45	63	0
SITE: 43	44	63	1
SITE: 32	42	61	0
WARN: Unitary gate is identity
SITE: 43	43	43	1
SITE: 10	63	63	1
WARN: Unitary gate is identity
SITE: 61	61	61	1
WARN: Unitary gate is identity
SITE: 32	32	32	1
WARN: Unitary gate is identity
SITE: 10	10	10	0
MPS Info: -12.0547 0.146878 0.0435001 
Writing MPS done!
