LLHHLHLLHLLHLHHLHLLHLLLLHLLHLLLHHLHLHHHHLLLLHHLHLHHLHHHLHLHLLHLL
W_LIST: 5.70668 -5.21895 -6.00418 6.51289 6.01206 -4.93515 -4.66441 3.91236 -5.4855 -1.2713 0.50371 4.2477 5.50926 -4.18713 0.872403 7.62306 2.43577 -3.85319 6.29868 0.149257 -1.74348 2.14573 -0.954826 -3.99283 -2.45793 -3.71638 -7.67474 7.22497 -0.272584 6.35247 -2.74187 5.91175 -5.22928 3.00837 -5.96495 5.33093 -5.28899 -4.00465 3.61369 0.337265 5.38701 3.82892 1.27309 2.34214 -4.15505 -7.38844 -1.1226 3.11217 0.728795 5.04313 4.71209 5.34708 -2.78796 2.57994 4.2721 2.12312 4.79568 -1.91348 -7.60303 -4.07077 3.56278 7.21519 2.66352 5.16343 
st	op	ed	phy
SITE: 30	31	33	0
SITE: 29	32	33	1
SITE: 30	34	35	1
SITE: 29	30	35	0
SITE: 29	35	36	1
SITE: 28	29	36	1
SITE: 26	27	33	0
SITE: 26	33	36	1
SITE: 28	36	38	1
SITE: 26	37	38	1
SITE: 28	38	40	0
WARN: Unitary gate is identity
SITE: 39	39	39	0
SITE: 25	26	40	0
SITE: 12	13	15	1
SITE: 12	15	16	1
SITE: 14	17	18	0
SITE: 12	16	18	0
SITE: 12	18	19	1
SITE: 14	20	21	0
SITE: 12	19	21	0
SITE: 12	21	22	1
SITE: 12	22	23	0
SITE: 25	40	41	1
SITE: 25	41	42	1
SITE: 28	43	44	1
SITE: 25	28	44	0
SITE: 42	45	46	1
SITE: 25	44	46	1
SITE: 25	46	47	0
SITE: 42	47	49	0
SITE: 25	48	49	1
SITE: 57	58	60	1
SITE: 56	59	60	0
SITE: 57	61	62	0
SITE: 56	60	62	1
SITE: 55	56	62	0
SITE: 55	62	63	1
SITE: 54	55	63	1
SITE: 52	54	57	0
SITE: 52	53	63	0
SITE: 51	52	63	1
SITE: 10	12	14	1
SITE: 10	11	23	0
SITE: 8	9	14	0
SITE: 8	10	23	1
SITE: 7	8	23	1
SITE: 6	7	23	1
SITE: 4	6	14	0
SITE: 4	5	23	1
SITE: 2	3	14	0
SITE: 2	4	23	1
SITE: 0	0	14	1
SITE: 1	1	23	0
SITE: 2	2	24	1
SITE: 24	25	49	0
SITE: 14	23	42	0
SITE: 14	24	49	1
SITE: 50	51	63	1
SITE: 42	49	57	0
SITE: 14	50	57	0
SITE: 14	63	63	1
SITE: 14	57	57	0
SITE: 14	14	42	1
WARN: Unitary gate is identity
SITE: 42	42	42	1
MPS Info: -2.57674 0.544755 0.0134507 
Writing MPS done!
