HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 7.14307 -6.7965 -4.01029 8.5085 0.509609 -2.842 -4.2728 8.54859 1.48245 6.41387 -1.85453 -1.65626 -5.05685 -2.39269 7.48709 -0.459483 3.49989 -2.22008 6.76068 5.96675 -1.52374 -4.16267 -3.5356 0.0154449 6.31938 -3.4811 7.0117 -4.29336 -4.17421 -0.123184 8.11827 1.26274 8.82008 8.07795 2.9266 7.37858 7.21976 3.71819 1.22457 -2.7244 -5.21856 1.77891 -5.24267 -8.89976 -7.75289 -5.1431 -3.66356 -7.74005 0.0957114 4.3636 -4.78181 8.88572 -4.34618 7.01651 8.05271 -0.231517 0.930934 8.13497 7.59851 8.83724 0.218304 1.00466 -7.64828 -2.46993 
st	op	ed	phy
SITE: 0	0	3	0
SITE: 1	3	4	0
SITE: 1	1	5	1
SITE: 47	49	50	0
SITE: 47	50	51	1
SITE: 47	51	52	0
SITE: 47	52	53	0
SITE: 46	47	53	0
SITE: 48	54	55	0
SITE: 46	53	55	1
SITE: 48	56	57	0
SITE: 46	48	57	0
SITE: 4	6	7	0
SITE: 2	2	7	1
SITE: 4	7	8	1
SITE: 5	9	10	0
SITE: 4	5	10	1
SITE: 45	46	57	0
SITE: 44	45	57	1
SITE: 13	14	16	1
SITE: 13	16	17	1
SITE: 13	17	18	0
SITE: 15	18	20	1
SITE: 13	19	20	1
SITE: 12	13	20	1
SITE: 11	12	20	0
SITE: 8	10	15	0
SITE: 8	15	20	1
SITE: 4	8	20	0
SITE: 4	20	21	1
SITE: 11	21	23	1
SITE: 4	22	23	1
SITE: 11	24	25	0
SITE: 4	4	25	1
SITE: 11	25	26	0
SITE: 11	26	27	1
SITE: 23	27	29	0
SITE: 11	28	29	0
SITE: 11	29	30	0
SITE: 11	30	31	1
SITE: 11	31	32	0
SITE: 23	32	34	0
SITE: 11	33	34	1
SITE: 11	34	35	1
SITE: 42	43	55	0
SITE: 42	44	57	1
SITE: 41	42	57	1
SITE: 40	41	57	0
SITE: 38	40	55	0
SITE: 38	39	57	0
SITE: 36	37	55	1
SITE: 36	38	57	0
SITE: 23	35	55	0
SITE: 11	36	55	1
SITE: 11	11	57	0
SITE: 23	57	58	0
SITE: 55	59	60	1
SITE: 23	58	60	1
SITE: 55	61	62	1
SITE: 23	60	62	0
SITE: 23	62	63	0
SITE: 23	63	63	0
SITE: 23	55	55	1
SITE: 23	23	23	0
MPS Info: -16.782 0.285349 0.00233726 
Writing MPS done!
