LHHHLLHLLLLLHLLLLLLLHHHLHHHLLLHLHLHLHHLHLLHHLHHLHHHHLHHHLHHHHLLL
W_LIST: 2.66528 -3.46469 0.97178 -2.63819 -6.00714 2.11524 7.43111 -8.45623 -6.98991 1.07904 8.39682 6.6963 -4.18529 -0.718696 7.1856 -8.98507 -7.95147 8.30724 -2.47429 -5.8452 -1.20764 -7.91245 3.6867 7.27077 -7.11956 1.02433 -4.68857 0.735592 -6.96744 6.62647 -3.79076 -1.62858 -1.56107 6.46773 8.88678 6.37617 -5.26866 1.65733 7.17286 -8.96605 -8.36448 2.95269 -6.06343 7.76965 -4.97622 -6.85445 5.60265 7.14128 -6.42731 4.41755 5.93609 -5.04131 6.78014 7.98778 -7.60253 -0.123761 -3.29321 -4.43507 7.26378 4.52719 -1.51879 -8.13209 -7.33615 -2.44905 
st	op	ed	phy
SITE: 40	42	43	1
SITE: 40	43	44	0
SITE: 41	45	46	1
SITE: 40	44	46	0
SITE: 41	47	48	1
SITE: 40	46	48	0
SITE: 40	48	49	1
SITE: 41	50	51	0
SITE: 40	49	51	0
SITE: 40	51	52	1
SITE: 41	53	54	0
SITE: 40	52	54	1
SITE: 40	54	55	1
SITE: 4	6	7	0
SITE: 21	23	24	1
SITE: 21	24	25	1
SITE: 20	21	25	1
SITE: 20	22	26	0
SITE: 19	20	26	1
SITE: 17	19	25	0
SITE: 17	18	26	0
SITE: 16	17	26	1
SITE: 14	15	25	0
SITE: 14	16	26	0
SITE: 13	14	26	1
SITE: 11	12	25	1
SITE: 11	13	26	0
SITE: 9	10	25	1
SITE: 9	11	26	1
SITE: 8	25	26	0
SITE: 9	26	28	1
SITE: 8	9	28	1
SITE: 5	7	27	0
SITE: 5	8	28	0
SITE: 4	5	28	1
SITE: 4	28	29	0
SITE: 4	29	30	1
SITE: 3	4	30	0
SITE: 1	3	27	1
SITE: 1	27	30	1
SITE: 0	1	30	1
SITE: 36	38	39	1
SITE: 35	36	39	1
SITE: 37	39	41	1
SITE: 35	40	41	0
SITE: 35	41	55	1
SITE: 34	35	55	1
SITE: 32	34	37	0
SITE: 32	33	55	1
SITE: 32	37	56	0
SITE: 0	30	31	1
SITE: 2	32	55	1
SITE: 0	0	55	1
SITE: 2	31	56	0
SITE: 57	58	60	0
SITE: 57	59	61	0
SITE: 55	57	60	1
SITE: 55	56	61	0
SITE: 2	60	61	1
SITE: 55	61	63	0
SITE: 2	62	63	0
SITE: 2	63	63	0
WARN: Unitary gate is identity
SITE: 55	55	55	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
MPS Info: -13.3508 0.0431886 0.693089 
Writing MPS done!
