LLLLLHHHHHHHLHLLLLHHHHHHLLLHHLLLHLHHLLLLLLHHHLLLLHHHHHHHLHLHLLHL
W_LIST: 6.82595 0.329719 -4.41835 3.62437 8.60309 -3.28253 -8.3523 8.46537 -1.2891 0.822168 1.85878 -8.73368 -6.68634 -0.203622 -5.3687 5.00706 -1.78266 8.77718 -2.54659 -2.55657 -1.11037 0.626079 3.13972 -5.72759 -7.10077 5.17984 2.78827 -6.02473 -7.8269 -0.989021 -3.30123 7.17409 7.70627 -6.48926 1.02837 4.68313 -6.34203 -4.51524 -3.45843 4.34421 3.12909 -3.60923 -3.54675 3.2064 8.33968 7.84975 7.06918 0.64323 5.41176 -3.87354 3.69544 -2.40348 0.511312 6.90202 -6.88106 1.29401 3.71474 -4.14893 -1.14691 -6.49129 7.63903 4.28737 -1.70165 1.71122 
st	op	ed	phy
SITE: 4	6	7	1
SITE: 4	7	8	0
SITE: 2	4	5	1
SITE: 2	5	8	1
SITE: 1	2	8	0
SITE: 0	0	8	1
SITE: 14	15	17	1
SITE: 13	14	17	0
SITE: 12	16	17	0
SITE: 12	17	18	1
SITE: 10	11	13	1
SITE: 10	12	18	0
SITE: 33	35	36	0
SITE: 32	33	36	0
SITE: 30	32	34	0
SITE: 30	31	36	1
SITE: 28	30	34	0
SITE: 28	34	36	0
SITE: 26	28	29	1
SITE: 26	27	36	1
SITE: 24	25	29	1
SITE: 24	26	36	1
SITE: 22	24	29	0
SITE: 22	23	36	1
SITE: 59	60	62	1
SITE: 58	59	62	1
SITE: 56	57	61	1
SITE: 56	61	62	1
SITE: 54	56	58	1
SITE: 54	58	62	0
SITE: 53	54	62	1
SITE: 52	53	62	0
SITE: 50	51	55	1
SITE: 50	52	62	0
SITE: 48	49	55	1
SITE: 48	50	62	0
SITE: 46	48	55	1
SITE: 46	55	62	0
SITE: 46	62	63	1
SITE: 21	22	36	0
SITE: 20	21	36	0
SITE: 19	29	36	0
SITE: 1	3	9	1
SITE: 19	36	37	0
SITE: 20	37	39	0
SITE: 19	38	39	0
SITE: 20	39	41	1
SITE: 19	40	41	1
SITE: 20	41	43	0
SITE: 19	42	43	1
SITE: 19	43	44	0
SITE: 13	18	20	1
SITE: 13	19	44	1
SITE: 10	20	44	1
SITE: 10	44	45	0
SITE: 13	45	47	1
WARN: Unitary gate is identity
SITE: 46	46	46	1
SITE: 10	13	63	0
SITE: 8	10	47	0
SITE: 1	9	47	0
SITE: 1	63	63	1
SITE: 1	47	47	0
SITE: 1	8	8	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
MPS Info: -9.48938 0.132826 0.579735 
Writing MPS done!
