HHHLHHHHLHLHLLLLHHLLLLLHLHLLLLLLHHLLHLHLLHLHHLHHLLHLHLLHHLHHHHHL
W_LIST: 9.44484e-05 -4.41568e-05 -4.99747e-06 1.62031e-05 -4.36813e-05 8.32307e-06 5.40093e-05 -5.70866e-05 -3.68976e-05 8.26817e-05 6.99739e-05 6.73741e-05 5.4971e-05 -4.94776e-05 4.11589e-05 -2.69777e-05 -3.52817e-05 -4.55541e-05 7.83319e-05 -7.98641e-05 -2.12532e-05 -2.57421e-05 -1.49741e-05 -2.21235e-05 6.93803e-05 -2.33686e-05 -5.43962e-05 5.27547e-05 -8.18206e-06 -6.29024e-05 6.84463e-05 2.28006e-05 8.61192e-05 6.56213e-05 -1.82197e-05 -4.27692e-05 -7.20755e-05 -8.43502e-05 8.61083e-05 -2.18383e-05 3.11908e-05 -8.85936e-05 2.98952e-05 -9.60747e-05 -7.79609e-05 8.93345e-05 9.41149e-05 2.8018e-06 7.48825e-05 1.69775e-05 4.64531e-05 -1.85069e-05 3.03236e-05 -7.37828e-05 5.74094e-05 -6.55845e-05 9.8879e-05 7.76711e-05 5.82361e-05 -1.20984e-05 -4.58851e-06 5.91869e-05 6.45968e-05 -1.23445e-05 
st	op	ed	phy
SITE: 6	7	9	1
SITE: 45	47	48	1
SITE: 52	54	55	1
SITE: 27	29	30	0
SITE: 19	20	22	1
SITE: 3	5	6	1
SITE: 24	26	27	1
SITE: 50	52	53	0
SITE: 53	55	57	1
SITE: 30	31	33	1
SITE: 35	37	38	0
SITE: 53	56	58	1
SITE: 6	8	10	0
SITE: 14	16	17	1
SITE: 14	15	18	0
SITE: 9	11	12	0
SITE: 58	60	61	1
SITE: 48	50	51	0
SITE: 35	36	39	0
SITE: 27	28	32	1
SITE: 57	59	61	1
SITE: 35	38	40	0
SITE: 6	9	12	0
SITE: 1	3	4	1
SITE: 44	46	48	1
SITE: 44	48	49	0
SITE: 27	32	33	1
SITE: 43	45	49	0
SITE: 12	14	17	1
SITE: 17	19	21	0
SITE: 6	10	13	1
SITE: 25	27	33	0
SITE: 25	30	34	1
SITE: 13	17	21	1
SITE: 6	12	18	1
SITE: 2	4	13	1
SITE: 13	21	22	0
SITE: 42	43	49	0
SITE: 1	6	13	1
SITE: 42	49	51	1
SITE: 53	58	61	1
SITE: 0	2	13	1
SITE: 41	44	51	0
SITE: 24	25	34	1
SITE: 40	42	51	1
SITE: 0	13	18	0
SITE: 24	34	35	1
SITE: 22	24	33	0
SITE: 39	41	51	1
SITE: 40	53	57	0
SITE: 18	22	33	1
SITE: 18	33	35	1
SITE: 18	35	39	0
SITE: 40	51	61	1
SITE: 40	57	62	0
SITE: 39	61	62	0
SITE: 23	39	62	1
SITE: 0	0	23	1
SITE: 18	40	62	0
SITE: 1	23	62	0
SITE: 1	62	63	1
SITE: 1	63	63	0
SITE: 1	1	18	1
SITE: 18	18	18	0
MPS Info: -0.538318 3.47773 0.233406 
Writing MPS done!
