HHHHLLLHHHLHLHLHHLHLLLLHLLLHLHHLHHHHHLLHHLHLLHLHLLHHLHHHHHLLHLLH
W_LIST: -0.277855 0.0544939 0.207208 -0.251259 -0.0579135 -0.0795692 0.144077 -0.209682 0.261941 -0.164374 -0.150873 -0.190301 0.105677 -0.1137 0.329973 0.267716 0.229818 0.0599039 0.0865365 -0.029521 0.269226 0.159385 -0.267062 0.2434 0.313263 -0.172148 -0.119862 -0.31159 -0.109723 -0.0330691 0.0254897 0.0149991 0.103675 0.0419398 -0.238997 -0.221594 0.15384 -0.212466 -0.326605 0.301546 0.136685 -0.181443 -0.154114 -0.17876 -0.0481158 -0.187417 0.204232 0.0438084 -0.0983771 0.0830081 -0.0623671 -0.219681 0.0741935 0.0645123 -0.0711079 -0.162468 -0.154183 -0.293644 0.207651 -0.192953 -0.0412022 0.15319 0.0954902 -0.217811 
st	op	ed	phy
SITE: 11	13	14	1
SITE: 21	22	24	0
SITE: 27	28	30	0
SITE: 4	6	7	1
SITE: 30	32	33	0
SITE: 53	55	56	1
SITE: 0	2	3	0
SITE: 46	48	49	0
SITE: 3	5	7	0
SITE: 46	47	50	0
SITE: 35	36	38	0
SITE: 38	39	41	0
SITE: 59	61	62	1
SITE: 52	54	56	1
SITE: 11	12	15	0
SITE: 51	52	56	1
SITE: 41	43	44	0
SITE: 20	23	24	0
SITE: 14	16	17	0
SITE: 19	21	24	1
SITE: 17	19	20	0
SITE: 34	37	38	1
SITE: 26	29	30	0
SITE: 45	46	50	1
SITE: 51	56	57	1
SITE: 41	42	45	0
SITE: 57	58	60	1
SITE: 49	51	53	1
SITE: 27	31	33	1
SITE: 53	57	60	1
SITE: 25	26	30	1
SITE: 33	35	38	0
SITE: 40	41	45	0
SITE: 18	24	25	1
SITE: 25	30	33	1
SITE: 17	18	25	0
SITE: 38	40	45	0
SITE: 45	49	53	1
SITE: 11	15	17	0
SITE: 38	45	50	1
SITE: 53	60	62	1
SITE: 25	33	34	0
SITE: 7	8	10	0
SITE: 1	4	7	1
SITE: 0	0	7	1
SITE: 17	25	27	0
SITE: 3	7	10	1
SITE: 14	17	27	1
SITE: 20	27	38	0
SITE: 50	59	62	0
SITE: 9	11	14	0
SITE: 14	20	38	0
SITE: 9	10	34	0
SITE: 1	9	14	0
SITE: 38	50	53	1
SITE: 14	38	44	0
SITE: 14	34	53	0
SITE: 1	3	44	1
SITE: 1	14	53	1
SITE: 1	53	62	1
SITE: 1	62	63	0
SITE: 1	1	63	1
SITE: 44	63	63	0
SITE: 44	44	44	0
MPS Info: 3.62897 2.33741 0.881852 
Writing MPS done!
