HHHHLHLLHHLLLHLHLLLLHHHHHLLLLHLHHLLHLLHLLHHLHHLLHHHHLLHLHHLLLLLL
W_LIST: 0.261913 -0.249205 -0.147044 0.311978 0.0186857 -0.104207 -0.15667 0.313448 0.0543567 0.235175 -0.0679995 -0.0607294 -0.185418 -0.0877318 0.274527 -0.0168477 0.128329 -0.0814031 0.247892 0.218781 -0.0558704 -0.152631 -0.129639 0.000566314 0.23171 -0.127641 0.257096 -0.157423 -0.153054 -0.00451673 0.29767 0.0463004 0.323403 0.296192 0.107309 0.270548 0.264725 0.136334 0.0449009 -0.0998948 -0.191347 0.0652268 -0.192231 -0.326324 -0.284273 -0.18858 -0.13433 -0.283802 0.00350942 0.159999 -0.175333 0.32581 -0.15936 0.257272 0.295266 -0.00848895 0.0341343 0.298282 0.278612 0.324032 0.00800446 0.0368376 -0.280437 -0.090564 
st	op	ed	phy
SITE: 4	6	7	0
SITE: 51	52	54	0
SITE: 23	25	26	0
SITE: 24	26	28	1
SITE: 32	33	35	1
SITE: 0	1	3	1
SITE: 35	37	38	1
SITE: 23	24	28	0
SITE: 41	43	44	0
SITE: 11	12	14	0
SITE: 54	56	57	0
SITE: 28	30	31	1
SITE: 0	3	4	0
SITE: 17	18	20	1
SITE: 15	17	19	0
SITE: 47	49	50	0
SITE: 35	36	39	0
SITE: 32	34	38	0
SITE: 42	44	46	0
SITE: 45	47	48	0
SITE: 35	38	40	1
SITE: 39	41	42	1
SITE: 59	61	62	1
SITE: 32	35	40	0
SITE: 2	5	7	0
SITE: 14	16	19	1
SITE: 7	9	10	0
SITE: 27	29	31	1
SITE: 27	31	32	1
SITE: 28	32	40	1
SITE: 22	27	28	0
SITE: 50	53	54	1
SITE: 0	0	7	0
SITE: 58	60	62	0
SITE: 21	22	28	0
SITE: 19	20	23	0
SITE: 19	23	28	1
SITE: 4	7	10	1
SITE: 2	8	10	0
SITE: 10	13	14	0
SITE: 40	45	46	0
SITE: 55	57	59	0
SITE: 2	10	11	1
SITE: 39	42	46	0
SITE: 50	51	55	0
SITE: 4	14	15	1
SITE: 15	19	28	0
SITE: 39	46	48	0
SITE: 54	55	59	1
SITE: 15	28	39	1
SITE: 21	39	48	0
SITE: 4	15	21	1
SITE: 48	54	58	1
SITE: 21	48	50	0
SITE: 11	40	50	1
SITE: 50	59	62	1
SITE: 2	11	21	1
SITE: 21	50	62	0
SITE: 2	2	58	1
SITE: 4	58	62	0
SITE: 4	62	63	0
SITE: 4	63	63	1
SITE: 4	21	21	1
SITE: 4	4	4	1
MPS Info: -0.723868 3.21187 0.396868 
Writing MPS done!
