LHLLHLLLHHHHLLLHLHHLLHHLLHLLLLHLHLLHLLLHLHLHHHLHHLLLLLLHHLHLHHLL
W_LIST: -0.0548314 -0.266167 0.23327 -0.326361 -0.0959702 0.275477 0.191199 -0.27052 0.194673 0.0489834 -0.112388 0.151297 -0.061755 -0.0452382 0.0637965 -0.182497 0.142256 0.287367 -0.088073 0.325093 -0.0478463 0.0567974 0.155235 0.0832016 -0.26174 -0.11481 0.213935 0.27485 -0.22396 -0.137795 -0.156944 0.277521 0.262958 0.0522397 -0.0460099 0.295871 -0.153828 0.287096 -0.00718094 -0.156798 -0.0681282 -0.311131 -0.314605 -0.207793 -0.010711 -0.130484 0.151658 -0.159891 -0.00976726 -0.194016 0.299814 -0.281569 -0.181538 -0.327303 -0.305213 -0.0565228 0.282291 -0.173111 -0.0852697 -0.0899923 0.268524 -0.093557 0.184409 -0.242342 
st	op	ed	phy
SITE: 31	32	34	0
SITE: 27	28	30	0
SITE: 38	39	41	1
SITE: 23	24	26	0
SITE: 33	35	36	0
SITE: 25	27	29	1
SITE: 29	31	33	1
SITE: 48	50	51	1
SITE: 21	23	25	1
SITE: 22	25	29	0
SITE: 33	34	37	0
SITE: 16	18	19	1
SITE: 42	43	45	1
SITE: 0	2	3	1
SITE: 20	22	26	0
SITE: 52	53	55	0
SITE: 20	26	29	1
SITE: 7	8	10	0
SITE: 44	46	47	1
SITE: 11	12	14	0
SITE: 3	5	6	1
SITE: 59	60	62	0
SITE: 14	16	17	1
SITE: 9	11	13	0
SITE: 44	47	48	1
SITE: 10	13	15	1
SITE: 29	33	36	1
SITE: 15	17	20	1
SITE: 51	54	55	1
SITE: 41	44	45	1
SITE: 1	3	6	0
SITE: 40	42	45	0
SITE: 37	38	41	0
SITE: 49	51	55	0
SITE: 37	40	45	0
SITE: 1	4	7	1
SITE: 30	37	41	1
SITE: 56	58	59	1
SITE: 41	45	49	1
SITE: 19	20	29	0
SITE: 56	57	61	0
SITE: 49	55	56	1
SITE: 30	36	48	0
SITE: 9	10	15	1
SITE: 41	49	52	0
SITE: 52	56	61	0
SITE: 14	15	21	1
SITE: 41	52	59	1
SITE: 14	21	29	1
SITE: 1	7	9	0
SITE: 14	29	30	1
SITE: 9	14	30	0
SITE: 30	48	59	0
SITE: 41	61	62	0
SITE: 19	30	59	1
SITE: 1	9	19	0
SITE: 6	41	59	0
SITE: 6	59	62	1
SITE: 0	1	19	1
SITE: 0	6	62	1
SITE: 0	62	63	1
SITE: 0	63	63	0
SITE: 0	19	19	1
SITE: 0	0	0	0
MPS Info: -3.46786 3.47243 0.703163 
Writing MPS done!
