HHHLHHLHHHLHHLHHHHLHHHHHHLLHHHLHHLLLLLLLLHLHHLHLHHLHLLHLLHHLHHHL
W_LIST: -0.213203 -0.274647 -0.236573 0.0144698 -0.153298 0.135319 -0.294867 0.0974957 0.264832 -0.0441126 0.195417 0.25731 7.63398e-05 -0.0239914 -0.0415685 0.0646781 -0.18078 -0.188247 -0.256055 0.0482488 0.286166 0.161512 -0.0323279 0.124519 0.151535 0.221605 -0.137645 0.160987 -0.259412 0.125566 -0.0542509 0.063131 -0.0972639 0.260264 -0.122669 -0.0214667 0.296896 0.0324778 0.296778 -0.18525 0.323481 -0.16931 -0.0457911 -0.148528 -0.20393 0.228565 0.294652 0.232064 0.313594 0.288976 0.207387 -0.255258 -0.192627 -0.289591 0.0545474 0.24946 0.0763687 0.251192 -0.267211 0.0329955 0.0687844 0.171246 -0.243167 -0.318231 
st	op	ed	phy
SITE: 17	18	20	0
SITE: 54	55	57	1
SITE: 45	46	48	0
SITE: 51	53	54	0
SITE: 14	16	17	1
SITE: 54	56	58	0
SITE: 37	39	40	0
SITE: 31	33	34	1
SITE: 0	1	3	1
SITE: 31	34	35	0
SITE: 15	19	20	0
SITE: 45	47	49	1
SITE: 17	20	22	0
SITE: 27	28	30	1
SITE: 49	51	52	1
SITE: 12	14	15	0
SITE: 9	11	12	0
SITE: 23	25	26	1
SITE: 17	21	23	0
SITE: 12	13	17	1
SITE: 6	8	9	0
SITE: 57	58	60	1
SITE: 54	57	60	0
SITE: 54	60	61	0
SITE: 29	31	32	0
SITE: 30	32	36	1
SITE: 44	45	49	1
SITE: 10	12	17	1
SITE: 15	17	23	1
SITE: 42	44	48	1
SITE: 35	36	38	1
SITE: 35	38	40	1
SITE: 54	61	62	0
SITE: 42	43	49	1
SITE: 15	23	24	0
SITE: 29	30	37	1
SITE: 6	7	10	0
SITE: 2	4	5	1
SITE: 37	40	42	1
SITE: 22	26	27	0
SITE: 50	54	59	1
SITE: 42	48	50	1
SITE: 29	37	41	0
SITE: 22	24	29	1
SITE: 10	22	27	0
SITE: 41	49	50	0
SITE: 42	50	59	1
SITE: 35	41	52	1
SITE: 9	10	27	1
SITE: 6	9	27	1
SITE: 2	3	6	1
SITE: 15	29	35	1
SITE: 6	15	35	1
SITE: 2	6	27	0
SITE: 27	42	52	0
SITE: 2	5	35	0
SITE: 0	2	35	1
SITE: 0	0	52	1
SITE: 35	52	62	0
SITE: 27	59	62	1
SITE: 27	62	63	1
SITE: 27	63	63	0
SITE: 27	35	35	0
SITE: 27	27	27	0
MPS Info: 4.45843 2.94583 0.808486 
Writing MPS done!
