HLHHHHHLHLLHLLHHHHLLLLHHHHHHHHLHLHLLLHLHLLHHHLHHLHLLLHHLHLHHHLHL
W_LIST: -0.0606452 -0.135519 0.225789 0.244097 -0.27759 -0.062599 -0.213592 0.0579542 -0.186138 -0.0535312 -0.0443109 -0.308456 -0.0916291 -0.00510538 0.158107 -0.0822772 0.0454096 -0.171016 -0.258706 0.168832 0.289732 -0.185409 -0.0523839 0.307913 0.152224 -0.286026 0.136505 -0.0868916 -0.290926 -0.153668 -0.0363015 -0.274104 0.242539 -0.214826 0.249189 -0.0835451 0.257539 -0.19385 -0.093036 0.302793 0.0849121 0.250086 0.0464875 -0.315847 0.284319 0.107719 -0.311575 -0.00619763 0.0876937 -0.0150307 0.12523 -0.158537 0.237516 -0.329402 0.0810011 0.301445 -0.326673 0.261684 0.0843976 0.288985 -0.255429 -0.033374 -0.0365689 -0.165687 
st	op	ed	phy
SITE: 39	41	42	1
SITE: 31	32	34	1
SITE: 0	1	3	0
SITE: 49	51	52	0
SITE: 3	4	6	1
SITE: 29	31	33	1
SITE: 20	21	23	0
SITE: 48	50	52	1
SITE: 38	40	42	0
SITE: 22	24	25	0
SITE: 17	19	20	1
SITE: 18	22	23	0
SITE: 6	8	9	1
SITE: 25	26	28	0
SITE: 6	7	10	0
SITE: 39	42	44	1
SITE: 36	38	39	0
SITE: 11	12	14	0
SITE: 6	9	11	0
SITE: 20	23	27	0
SITE: 36	39	43	0
SITE: 27	28	30	1
SITE: 48	52	53	1
SITE: 11	13	15	1
SITE: 36	43	44	1
SITE: 47	49	53	1
SITE: 33	34	36	1
SITE: 53	55	56	1
SITE: 57	59	60	0
SITE: 45	46	48	1
SITE: 2	5	6	1
SITE: 53	56	57	1
SITE: 17	20	25	1
SITE: 33	35	37	0
SITE: 44	45	48	0
SITE: 2	6	10	0
SITE: 57	58	61	0
SITE: 10	14	15	1
SITE: 36	37	47	0
SITE: 33	36	47	1
SITE: 11	15	17	1
SITE: 11	16	18	1
SITE: 0	2	10	0
SITE: 18	25	29	0
SITE: 48	53	57	1
SITE: 57	61	62	1
SITE: 54	60	62	1
SITE: 44	48	54	0
SITE: 0	0	11	0
SITE: 29	33	44	1
SITE: 29	30	47	0
SITE: 44	47	57	1
SITE: 10	11	18	0
SITE: 3	10	18	1
SITE: 29	54	57	1
SITE: 3	18	27	0
SITE: 17	29	44	0
SITE: 27	57	62	1
SITE: 3	17	44	0
SITE: 3	44	62	0
SITE: 3	62	63	1
SITE: 3	63	63	0
SITE: 3	3	27	0
SITE: 27	27	27	0
MPS Info: 3.271 2.72449 0.607678 
Writing MPS done!
