LLLLHLHHLLLHLHHHHLHHHLHLHHLHHHHHHHLHLHLHLLHLLLHLHLHLLLHLHHHLLHLH
W_LIST: 0.0156339 -0.0659552 -0.20303 0.0289104 -0.00973548 0.168442 0.157046 -0.291817 -0.0816236 0.27176 0.165825 -0.261339 -0.137482 0.00433764 0.257945 0.174245 -0.171495 -0.1624 -0.260032 -0.100877 0.291515 0.301131 -0.0624119 -0.260391 -0.177431 -0.209842 0.273581 -0.210831 -0.306682 0.0367142 0.302673 0.217278 0.0824398 -0.122371 -0.224882 0.215416 0.237861 -0.307014 0.0420569 0.216814 -0.0343725 -0.200216 0.0926268 -0.0695068 0.198444 0.0472956 0.0453111 -0.125329 0.304743 -0.167034 0.0841514 0.219823 -0.207412 -0.0193078 0.094228 -0.0025624 -0.198194 -0.0630702 -0.0697983 -0.243021 0.242464 -0.135684 0.0667303 0.240584 
st	op	ed	phy
SITE: 12	14	15	0
SITE: 13	15	17	0
SITE: 38	39	41	0
SITE: 56	58	59	1
SITE: 26	28	29	1
SITE: 16	17	19	0
SITE: 3	5	6	1
SITE: 57	59	61	0
SITE: 13	16	19	0
SITE: 27	29	31	1
SITE: 1	2	4	0
SITE: 4	7	8	1
SITE: 4	6	9	1
SITE: 31	33	34	1
SITE: 10	12	13	0
SITE: 54	56	57	0
SITE: 53	55	57	1
SITE: 50	52	53	0
SITE: 13	19	20	1
SITE: 24	26	27	1
SITE: 25	27	31	1
SITE: 35	37	38	1
SITE: 9	11	13	1
SITE: 36	40	41	1
SITE: 42	44	45	1
SITE: 24	25	31	1
SITE: 54	60	61	1
SITE: 51	54	57	1
SITE: 48	49	51	0
SITE: 1	4	8	1
SITE: 50	51	57	1
SITE: 0	1	8	1
SITE: 10	13	20	0
SITE: 21	23	24	0
SITE: 43	45	47	0
SITE: 50	57	61	1
SITE: 31	34	35	0
SITE: 42	43	47	0
SITE: 46	48	50	0
SITE: 32	35	38	0
SITE: 31	32	38	1
SITE: 24	30	36	1
SITE: 42	46	50	0
SITE: 22	31	36	1
SITE: 20	22	24	0
SITE: 38	41	47	0
SITE: 42	50	53	1
SITE: 47	61	62	1
SITE: 36	38	47	1
SITE: 42	53	62	1
SITE: 24	42	47	0
SITE: 8	10	18	0
SITE: 9	18	21	1
SITE: 21	24	47	1
SITE: 0	8	9	0
SITE: 20	21	47	1
SITE: 9	36	47	1
SITE: 0	9	20	1
SITE: 0	0	47	0
SITE: 3	47	62	1
SITE: 3	63	63	0
SITE: 3	3	62	1
SITE: 20	62	62	0
SITE: 20	20	20	1
MPS Info: 0.687154 2.72725 0.1108 
Writing MPS done!
