LHLHLLHLLHHLHLHHHHHHLHHLHHHHHHHHLLLLLHHHHLHHLLHLLHLHLHLLLHHLLLHL
W_LIST: 0.482429 0.628142 -0.480383 -0.603601 -0.460766 0.269003 0.424768 -0.334179 0.30907 0.100147 -0.0945985 -0.0500597 0.514262 -0.425704 -0.116648 0.428463 0.394644 0.598879 -0.459092 0.324836 0.501006 -0.658564 0.336465 0.541169 0.289293 0.0358302 -0.478307 -0.000456773 0.111444 0.555826 -0.467489 0.27097 -0.390576 -0.537679 0.237493 -0.121365 0.0609239 0.631509 0.469839 0.428642 0.138348 0.513451 -0.617154 0.409334 0.387148 0.234049 -0.486148 -0.0506331 -0.134796 0.0580873 -0.582085 0.195071 0.251885 0.217042 -0.41998 -0.540778 0.29357 0.292547 0.353416 0.226207 0.0218359 0.474887 -0.658303 0.272674 
st	op	ed	phy
SITE: 50	52	53	1
SITE: 39	41	42	1
SITE: 58	60	61	0
SITE: 13	15	16	0
SITE: 25	26	28	1
SITE: 14	17	18	0
SITE: 29	30	32	1
SITE: 6	7	9	0
SITE: 3	4	6	0
SITE: 58	59	62	1
SITE: 44	46	47	1
SITE: 38	39	42	0
SITE: 8	9	11	1
SITE: 43	44	47	1
SITE: 27	28	31	0
SITE: 27	29	32	0
SITE: 25	31	32	0
SITE: 45	47	49	0
SITE: 2	5	6	1
SITE: 38	42	43	1
SITE: 18	20	21	1
SITE: 55	56	58	1
SITE: 55	58	61	1
SITE: 40	45	48	0
SITE: 24	25	32	1
SITE: 11	13	14	0
SITE: 53	55	57	0
SITE: 51	54	57	0
SITE: 36	37	40	0
SITE: 2	6	8	0
SITE: 19	21	23	1
SITE: 32	33	35	0
SITE: 34	36	38	1
SITE: 49	50	53	0
SITE: 8	10	12	1
SITE: 18	19	23	1
SITE: 38	40	48	1
SITE: 53	61	62	1
SITE: 22	23	27	1
SITE: 38	48	49	1
SITE: 12	16	18	0
SITE: 3	8	12	1
SITE: 24	32	34	1
SITE: 0	1	3	0
SITE: 22	24	34	1
SITE: 18	22	34	1
SITE: 49	53	57	0
SITE: 0	0	11	1
SITE: 12	14	27	0
SITE: 35	38	49	0
SITE: 27	34	43	1
SITE: 35	49	51	1
SITE: 12	18	35	1
SITE: 3	12	27	0
SITE: 27	35	51	0
SITE: 27	51	57	1
SITE: 3	11	43	1
SITE: 27	57	62	1
SITE: 3	43	62	1
SITE: 2	3	62	0
SITE: 2	62	63	1
SITE: 2	2	63	0
SITE: 27	63	63	0
SITE: 27	27	27	1
MPS Info: 1.88364 1.87224 0.677801 
Writing MPS done!
