LHHLLHHLLHHHHLLLLHLLLLHLHLHLLLHLLLLLLLHLHHLLHHHHHHLLHLHHHLHLLHHL
W_LIST: -0.326873 -0.34232 -0.212041 -0.488077 -0.632264 0.533984 0.0800673 0.511323 0.177426 -0.0128763 -0.331338 -0.239251 -0.586203 -0.199071 -0.360541 -0.0150012 0.468922 -0.514345 -0.490903 0.451833 0.543801 0.458388 0.0957925 0.101891 0.29756 0.544258 0.171503 -0.334998 -0.266717 -0.15499 -0.252097 0.184145 -0.272947 0.361245 -0.580206 0.453694 -0.411355 0.555577 -0.247931 -0.314843 -0.0844832 0.266208 0.490189 -0.2785 -0.353857 0.103897 0.159123 -0.269776 -0.205605 0.370006 -0.24797 0.0357188 0.133602 -0.260692 -0.102535 0.0830409 -0.582929 0.418449 0.612714 0.658078 0.0912756 0.65945 0.500878 -0.536807 
st	op	ed	phy
SITE: 50	52	53	0
SITE: 55	56	58	1
SITE: 45	47	48	1
SITE: 48	50	51	0
SITE: 22	24	25	0
SITE: 34	35	37	1
SITE: 55	58	59	0
SITE: 0	1	3	1
SITE: 14	16	17	1
SITE: 32	34	36	0
SITE: 40	42	43	1
SITE: 53	55	57	1
SITE: 13	15	17	0
SITE: 0	2	4	1
SITE: 22	25	26	1
SITE: 46	48	51	1
SITE: 13	17	18	1
SITE: 28	30	31	1
SITE: 23	27	28	0
SITE: 0	3	5	0
SITE: 9	10	12	1
SITE: 51	53	57	1
SITE: 8	11	12	1
SITE: 4	5	7	0
SITE: 4	6	8	0
SITE: 49	51	57	1
SITE: 38	40	41	0
SITE: 18	20	21	1
SITE: 38	41	43	1
SITE: 29	32	33	0
SITE: 36	38	39	1
SITE: 0	0	8	0
SITE: 12	14	18	1
SITE: 22	23	28	1
SITE: 18	21	22	0
SITE: 22	26	29	0
SITE: 7	9	12	1
SITE: 49	54	59	1
SITE: 12	18	19	0
SITE: 12	13	22	0
SITE: 33	36	39	0
SITE: 44	46	49	1
SITE: 45	57	59	1
SITE: 19	22	29	1
SITE: 28	29	33	0
SITE: 59	61	62	0
SITE: 39	43	45	0
SITE: 7	12	19	1
SITE: 19	28	33	1
SITE: 44	45	59	1
SITE: 8	19	33	0
SITE: 49	59	62	1
SITE: 44	60	62	1
SITE: 4	4	31	0
SITE: 39	44	62	1
SITE: 7	7	33	1
SITE: 8	33	37	1
SITE: 37	39	62	0
SITE: 8	37	49	1
SITE: 8	8	62	0
SITE: 31	62	63	0
SITE: 31	63	63	0
SITE: 31	31	49	0
SITE: 49	49	49	0
MPS Info: -3.69388 3.05751 0.0295451 
Writing MPS done!
