HLLHHHHHLLHHHHHHHLHLLLLLHLHHLHLLHLHHHLHHLLLHLHLLLLHHHLLLHLHHLHLH
W_LIST: -0.174314 -0.203192 0.250321 0.40155 -0.0965558 -0.323934 -0.498658 -0.188218 0.386456 0.637705 0.0889332 -0.145017 0.642091 -0.180185 -0.160866 0.498043 0.0351113 -0.497114 -0.493554 -0.0875842 0.547368 0.111468 0.0757365 0.285284 -0.361751 -0.623373 0.445653 -0.582877 -0.29823 0.225775 0.425853 -0.15309 -0.593145 0.546155 -0.208347 -0.268385 -0.450712 0.329249 0.0222553 -0.4868 -0.323052 -0.634395 0.582468 0.214181 -0.525608 -0.0169488 -0.447104 -0.508038 0.228494 0.0659994 -0.330127 -0.527561 0.563745 0.359497 -0.0760815 -0.524974 -0.325971 -0.231059 0.304322 -0.405933 -0.232938 0.45483 -0.612524 0.275736 
st	op	ed	phy
SITE: 5	6	8	1
SITE: 11	12	14	0
SITE: 29	30	32	1
SITE: 40	42	43	1
SITE: 34	36	37	1
SITE: 21	23	24	1
SITE: 39	41	43	0
SITE: 17	18	20	1
SITE: 22	24	26	1
SITE: 0	1	3	0
SITE: 33	35	37	1
SITE: 40	44	45	0
SITE: 19	20	22	1
SITE: 33	34	38	1
SITE: 9	11	13	0
SITE: 27	28	31	0
SITE: 15	17	19	0
SITE: 8	9	13	1
SITE: 10	13	15	0
SITE: 43	45	47	0
SITE: 15	19	21	0
SITE: 52	53	55	1
SITE: 59	61	62	0
SITE: 14	15	21	0
SITE: 40	46	47	1
SITE: 25	26	29	0
SITE: 4	7	8	1
SITE: 33	37	39	1
SITE: 51	54	55	0
SITE: 38	39	43	1
SITE: 38	40	47	1
SITE: 57	59	60	1
SITE: 49	51	52	1
SITE: 10	16	21	0
SITE: 43	47	49	0
SITE: 10	21	22	1
SITE: 55	57	58	0
SITE: 38	43	49	1
SITE: 52	55	58	1
SITE: 25	29	31	0
SITE: 2	3	5	0
SITE: 38	49	50	1
SITE: 5	10	14	0
SITE: 8	22	25	0
SITE: 0	2	5	1
SITE: 31	32	38	1
SITE: 14	25	31	0
SITE: 33	38	50	1
SITE: 50	56	58	1
SITE: 8	27	31	1
SITE: 31	48	50	0
SITE: 0	5	8	1
SITE: 33	50	58	1
SITE: 0	8	14	1
SITE: 31	33	58	1
SITE: 0	0	31	0
SITE: 52	58	62	0
SITE: 31	60	62	1
SITE: 14	31	62	0
SITE: 4	4	62	1
SITE: 14	62	63	0
SITE: 14	63	63	0
SITE: 14	14	52	0
SITE: 52	52	52	0
MPS Info: -0.174619 1.96238 0.725978 
Writing MPS done!
