HHLHLHLLLLLHLHHLHHHHHLHLHHHLHHLHLLHHLHHLHHHLHHLHLLHHLLHHHLHLLHHL
W_LIST: 0.054523 -0.6545 -0.376136 0.415991 -0.612993 0.369189 0.613255 -0.57753 0.0400005 -0.366423 0.0593407 -0.00366629 -0.155467 -0.151856 0.138647 -0.0523895 0.044396 0.188733 0.162469 0.42329 0.552717 0.251087 -0.614348 -0.0996255 0.629282 0.26518 -0.46312 -0.294695 -0.345501 0.136923 0.122777 0.00105657 0.246559 -0.496479 -0.31056 0.628498 0.150253 -0.0102423 0.427534 -0.0847359 0.639094 -0.00530087 0.0608856 0.293202 0.536767 0.461782 0.623555 0.454569 0.219643 0.269989 -0.453362 -0.0524796 0.548959 -0.0302203 -0.0364009 -0.116997 -0.600534 -0.545321 0.501734 0.638051 -0.0592578 -0.5121 -0.302626 0.174551 
st	op	ed	phy
SITE: 57	59	60	1
SITE: 2	4	5	0
SITE: 41	43	44	1
SITE: 49	50	52	1
SITE: 10	12	13	0
SITE: 35	37	38	1
SITE: 55	56	58	1
SITE: 15	17	18	0
SITE: 26	28	29	1
SITE: 3	5	7	0
SITE: 54	57	58	0
SITE: 20	22	23	1
SITE: 39	40	42	0
SITE: 31	33	34	0
SITE: 1	3	6	0
SITE: 49	52	53	1
SITE: 24	26	27	0
SITE: 39	42	44	1
SITE: 38	41	44	1
SITE: 27	30	31	1
SITE: 13	15	16	0
SITE: 14	16	19	0
SITE: 13	14	19	0
SITE: 13	19	20	0
SITE: 18	20	23	0
SITE: 27	31	32	1
SITE: 48	51	53	1
SITE: 6	7	9	0
SITE: 11	13	21	0
SITE: 2	6	9	1
SITE: 1	8	9	1
SITE: 39	44	46	0
SITE: 47	48	53	1
SITE: 53	55	58	1
SITE: 38	39	46	0
SITE: 24	27	29	0
SITE: 46	49	53	0
SITE: 32	35	36	0
SITE: 25	32	34	1
SITE: 25	34	36	0
SITE: 38	46	47	1
SITE: 11	18	23	0
SITE: 0	1	9	1
SITE: 9	11	21	0
SITE: 36	38	47	0
SITE: 58	60	62	0
SITE: 45	53	54	0
SITE: 25	29	45	1
SITE: 10	21	24	1
SITE: 36	47	54	0
SITE: 24	25	45	0
SITE: 9	10	24	1
SITE: 0	9	23	0
SITE: 54	58	62	0
SITE: 24	36	54	1
SITE: 45	54	62	1
SITE: 2	23	45	1
SITE: 24	61	62	0
SITE: 2	24	62	1
SITE: 0	2	62	0
SITE: 0	63	63	1
SITE: 0	62	62	1
SITE: 0	0	45	0
SITE: 45	45	45	1
MPS Info: 3.52471 2.54179 0.974501 
Writing MPS done!
