HLHHLHHHHLLLLHLHLLHLHLHHHLHHHHLHLHHLHLHLHLLHHLLHHLHHLHHLLLLHLLLL
W_LIST: -0.514314 0.302436 0.600711 -0.594959 0.38231 -0.636555 -0.449952 0.541711 0.323525 0.0414551 -0.343146 -0.452002 0.646257 0.0228398 0.00564623 0.0732738 0.321651 -0.641877 -0.192051 0.0536841 -0.0742949 -0.647929 0.190134 -0.053236 -0.519346 -0.635407 -0.567225 0.38243 -0.637 -0.630998 -0.206192 -0.148371 -0.0752687 -0.106059 -0.500869 0.219272 -0.543795 0.536227 0.286753 -0.0253391 -0.247672 0.574116 -0.0755375 -0.0995032 0.268076 0.333957 0.625952 -0.429354 -0.054939 0.427927 0.106685 0.0171865 -0.422218 0.426526 -0.451704 0.198864 -0.533669 -0.283271 0.61911 0.0359505 -0.0882314 -0.0948327 0.28841 0.430576 
st	op	ed	phy
SITE: 52	53	55	0
SITE: 55	57	58	0
SITE: 2	3	5	1
SITE: 1	2	5	0
SITE: 58	60	61	0
SITE: 12	13	15	1
SITE: 34	36	37	1
SITE: 34	37	38	1
SITE: 25	27	28	0
SITE: 38	40	41	1
SITE: 9	11	12	0
SITE: 39	42	43	0
SITE: 49	51	52	0
SITE: 1	5	6	1
SITE: 38	39	43	0
SITE: 33	34	38	1
SITE: 16	17	19	0
SITE: 30	31	33	1
SITE: 8	9	12	0
SITE: 49	50	54	0
SITE: 8	10	14	1
SITE: 54	55	58	1
SITE: 56	58	61	1
SITE: 35	41	43	1
SITE: 19	21	22	0
SITE: 7	12	14	1
SITE: 56	61	62	1
SITE: 25	26	29	0
SITE: 16	18	20	0
SITE: 33	35	43	0
SITE: 30	32	38	0
SITE: 20	22	24	0
SITE: 52	54	59	1
SITE: 45	47	48	1
SITE: 29	30	38	0
SITE: 7	14	15	0
SITE: 28	29	38	1
SITE: 7	15	16	0
SITE: 16	20	23	0
SITE: 52	59	62	0
SITE: 0	1	6	1
SITE: 46	49	52	1
SITE: 8	16	23	1
SITE: 38	43	45	0
SITE: 33	44	45	0
SITE: 6	7	19	0
SITE: 4	6	19	1
SITE: 28	33	45	1
SITE: 45	46	52	1
SITE: 45	48	56	1
SITE: 28	45	52	1
SITE: 8	23	24	0
SITE: 0	0	19	1
SITE: 4	8	24	0
SITE: 4	4	25	0
SITE: 38	56	62	0
SITE: 24	25	38	0
SITE: 19	24	38	0
SITE: 28	38	62	1
SITE: 19	28	62	1
SITE: 19	62	63	1
SITE: 19	52	63	1
SITE: 19	63	63	0
SITE: 19	19	19	1
MPS Info: 0.625178 2.77858 1.38919 
Writing MPS done!
