LLLLLHLHHLHLLHLLLHLLHLHHLHLLLHHLHHHLHHHHLLHLLHHLLLLHHHHLLHHLHHHH
W_LIST: -0.0204106 -0.655646 -1.19368 0.302801 -1.04306 -1.01906 -0.53966 -0.452821 0.0747812 0.349257 0.751753 -0.909393 1.22951 -0.48679 -0.301892 -1.02642 -0.413117 0.880388 -0.312225 -0.633723 -0.250327 0.501692 0.948972 0.0388028 -1.066 -0.259093 -0.897421 -0.216169 -0.394591 1.28625 -0.921897 1.23514 0.901775 -0.110437 -0.860242 -0.466769 0.0145034 -0.514238 0.935335 -0.519788 0.911448 -0.0351317 -0.0955943 -0.800077 0.065656 -1.2377 -0.255652 0.536661 0.942429 -1.20099 -0.127189 -0.0340614 0.31392 -0.677327 1.00343 -1.06586 -0.344764 -0.866832 -0.692013 0.830448 0.988947 0.261656 0.072609 -0.775892 
st	op	ed	phy
SITE: 50	52	53	0
SITE: 34	35	37	0
SITE: 48	49	51	0
SITE: 16	17	19	0
SITE: 18	19	21	0
SITE: 27	29	30	0
SITE: 46	48	50	1
SITE: 2	4	5	0
SITE: 56	57	59	1
SITE: 0	2	3	0
SITE: 20	22	23	0
SITE: 32	33	36	1
SITE: 31	34	36	1
SITE: 16	18	21	1
SITE: 45	46	50	1
SITE: 47	51	53	0
SITE: 53	54	56	0
SITE: 58	60	61	0
SITE: 42	43	45	0
SITE: 15	20	21	1
SITE: 3	5	7	1
SITE: 16	21	24	1
SITE: 25	26	28	0
SITE: 42	45	47	1
SITE: 9	10	12	0
SITE: 37	38	40	0
SITE: 42	44	50	1
SITE: 7	9	11	1
SITE: 28	31	32	1
SITE: 39	40	42	1
SITE: 12	13	15	1
SITE: 15	16	24	0
SITE: 25	28	30	1
SITE: 11	12	15	1
SITE: 39	42	47	0
SITE: 53	56	58	0
SITE: 37	39	47	1
SITE: 8	11	15	0
SITE: 50	55	58	0
SITE: 23	24	27	0
SITE: 7	8	15	1
SITE: 0	3	6	1
SITE: 23	25	30	0
SITE: 37	41	50	0
SITE: 58	59	62	1
SITE: 50	58	61	1
SITE: 50	61	62	0
SITE: 30	36	37	0
SITE: 0	6	7	0
SITE: 14	15	27	0
SITE: 27	30	37	1
SITE: 27	37	47	1
SITE: 1	14	23	1
SITE: 1	23	27	0
SITE: 27	47	50	1
SITE: 32	50	62	0
SITE: 1	27	32	0
SITE: 7	32	62	1
SITE: 1	7	62	0
SITE: 0	1	62	0
SITE: 0	0	63	1
SITE: 53	63	63	1
SITE: 53	62	62	0
SITE: 53	53	53	0
MPS Info: -2.40297 1.82148 0.0152275 
Writing MPS done!
