HLLHHHHHLLLLHLHLHHLHHLHLHLLLLLHLHLLHHLLHHHHHHLHHHLHLLHLLLLLLLLLH
W_LIST: 0.594445 -0.0949178 0.669774 1.22827 1.11601 0.843268 -0.212098 -0.612186 0.917234 0.311297 -0.214425 -0.529602 0.859911 -0.410673 0.50286 1.0413 0.498496 0.949835 -0.322909 -0.147737 -0.235954 -0.896504 0.86814 0.777934 -1.06322 0.355 0.20749 -1.21519 -0.521599 0.160846 -0.849555 -0.124025 -0.388718 0.634808 0.63846 -0.716964 -0.144116 1.23359 -0.635734 -1.21283 -0.0500581 -1.00484 0.276316 1.18557 -0.62655 0.935249 -0.0389321 -0.423606 0.0319804 0.233773 -0.458307 0.355752 -0.612473 -0.837778 1.11005 -0.856349 0.690856 -0.824547 0.725075 -0.797838 -0.317731 -0.563024 0.905263 -0.161097 
st	op	ed	phy
SITE: 36	37	39	1
SITE: 55	57	58	0
SITE: 55	58	59	1
SITE: 51	53	54	1
SITE: 40	41	43	1
SITE: 29	30	32	1
SITE: 31	33	34	1
SITE: 2	3	5	0
SITE: 6	8	9	1
SITE: 6	7	10	1
SITE: 39	40	43	1
SITE: 32	35	36	1
SITE: 24	25	27	1
SITE: 5	9	10	0
SITE: 49	50	52	1
SITE: 49	52	54	0
SITE: 26	27	29	0
SITE: 28	31	32	0
SITE: 29	34	36	0
SITE: 6	11	12	0
SITE: 39	43	44	0
SITE: 14	15	17	1
SITE: 22	24	26	1
SITE: 45	47	48	1
SITE: 20	21	23	0
SITE: 51	55	56	0
SITE: 14	17	18	0
SITE: 48	51	54	1
SITE: 29	36	38	1
SITE: 32	38	42	0
SITE: 46	48	54	1
SITE: 42	45	46	1
SITE: 6	12	13	0
SITE: 23	26	29	1
SITE: 20	22	28	0
SITE: 39	44	46	1
SITE: 42	46	54	1
SITE: 39	49	54	0
SITE: 1	4	5	0
SITE: 42	56	59	1
SITE: 6	10	14	0
SITE: 16	18	20	0
SITE: 2	5	13	0
SITE: 13	16	19	0
SITE: 42	59	60	0
SITE: 1	2	13	1
SITE: 20	23	29	1
SITE: 29	39	42	1
SITE: 29	42	54	0
SITE: 14	19	28	0
SITE: 13	14	28	1
SITE: 29	54	60	1
SITE: 32	61	62	0
SITE: 28	29	60	1
SITE: 13	28	32	0
SITE: 0	0	13	0
SITE: 1	6	20	0
SITE: 13	20	60	0
SITE: 1	32	60	1
SITE: 1	60	62	1
SITE: 1	62	63	1
SITE: 1	63	63	1
SITE: 1	13	13	0
SITE: 1	1	1	1
MPS Info: -0.925268 2.25241 1.24741 
Writing MPS done!
