LHLHLLLLHLLLHLHLLHHLHLLLHLHHLHLLLHHLLHLHHLLLHLHLHLLHLHLHLLHLHLHL
W_LIST: -1.61879 -0.903648 0.423234 0.486893 1.44138 0.638014 1.07632 -0.182713 0.799172 -0.500687 0.714989 -0.0684745 -1.16336 -0.393816 -1.43683 1.20564 -0.445563 -0.366143 1.2403 -0.256182 -0.272075 -1.64034 -0.702566 0.464111 -0.492693 -0.258839 -1.3372 -1.41534 -0.849171 0.934962 -0.117484 -0.615293 0.82147 -1.36499 1.47508 -0.455199 1.23266 0.116551 0.905423 -0.934999 -1.56257 1.38296 -0.734887 -0.402345 1.45804 -1.25256 1.11952 1.29313 1.10948 0.0402196 -1.08862 0.222189 0.280247 -0.465976 1.55181 -1.57195 0.817995 -0.133162 0.62585 -1.04617 -0.775181 -0.329346 -0.891057 1.58811 
st	op	ed	phy
SITE: 14	15	17	1
SITE: 39	40	42	1
SITE: 22	23	25	1
SITE: 19	21	22	0
SITE: 39	41	43	1
SITE: 42	44	45	0
SITE: 35	36	38	1
SITE: 20	22	25	0
SITE: 59	60	62	1
SITE: 31	33	34	1
SITE: 57	59	61	0
SITE: 6	8	9	0
SITE: 20	24	26	1
SITE: 29	31	32	0
SITE: 2	4	5	1
SITE: 54	55	57	1
SITE: 16	18	19	0
SITE: 48	50	51	0
SITE: 27	29	30	0
SITE: 38	42	43	0
SITE: 26	27	30	1
SITE: 49	51	53	0
SITE: 39	45	46	0
SITE: 53	54	57	1
SITE: 3	6	7	1
SITE: 1	2	5	1
SITE: 57	61	62	0
SITE: 20	26	28	1
SITE: 47	48	52	0
SITE: 47	52	53	1
SITE: 20	25	30	0
SITE: 20	28	32	0
SITE: 38	39	46	1
SITE: 11	12	14	1
SITE: 34	35	38	0
SITE: 49	53	57	1
SITE: 34	37	43	1
SITE: 20	32	34	1
SITE: 14	16	19	0
SITE: 7	10	11	1
SITE: 19	20	34	0
SITE: 11	14	17	1
SITE: 43	46	49	0
SITE: 3	7	9	0
SITE: 17	30	34	1
SITE: 19	34	43	0
SITE: 11	13	19	0
SITE: 17	38	43	1
SITE: 56	58	62	0
SITE: 17	43	47	1
SITE: 5	11	17	0
SITE: 19	47	56	1
SITE: 17	49	56	1
SITE: 3	9	17	0
SITE: 3	17	19	0
SITE: 1	3	19	1
SITE: 19	56	62	1
SITE: 1	5	57	0
SITE: 0	0	57	0
SITE: 1	1	62	1
SITE: 19	63	63	1
SITE: 19	57	62	0
SITE: 19	62	62	1
WARN: Unitary gate is identity
SITE: 19	19	19	1
MPS Info: -2.33337 1.79898 0.892248 
Writing MPS done!
