HLLHHLLLLHLLLLHHHHHHHLHHLHLHLLHHHLLHLLHLLHLLLLHLLHLHHLLHHHLLHLLL
W_LIST: 2.15802 -2.82167 -1.96959 -4.2441 0.274245 -0.660878 7.17384 5.99621 3.72938 -7.51671 -7.97997 -5.40976 7.85497 -3.37392 0.755519 0.0559531 -9.67903 6.88054 -2.38772 7.06218 -1.82813 -1.48426 6.83125 3.07044 1.99544 0.360554 -2.59372 -5.38107 -3.44432 -4.5598 3.3404 4.17711 1.92879 1.97132 -0.833768 5.54988 -0.487264 -7.29566 -8.87368 -6.51359 3.23831 6.09034 0.679407 1.44924 -2.10862 8.86295 8.89254 0.42502 -6.33681 6.36386 -2.20111 -8.79064 8.87762 4.30412 7.94542 2.77363 1.3011 3.64143 -9.87571 -9.87741 2.52337 -1.13296 3.67621 6.47749 
st	op	ed	phy
SITE: 5	6	8	1
SITE: 49	51	52	1
SITE: 37	38	40	1
SITE: 45	46	48	0
SITE: 55	57	58	0
SITE: 8	10	11	0
SITE: 12	13	15	0
SITE: 43	45	47	1
SITE: 14	16	17	1
SITE: 1	3	4	1
SITE: 2	5	7	0
SITE: 28	29	31	0
SITE: 37	39	41	0
SITE: 31	33	34	1
SITE: 41	43	44	1
SITE: 37	41	42	0
SITE: 12	14	17	0
SITE: 42	44	48	0
SITE: 17	19	20	0
SITE: 1	2	7	0
SITE: 48	49	52	0
SITE: 26	27	30	1
SITE: 35	37	40	0
SITE: 31	34	35	0
SITE: 52	54	55	1
SITE: 28	31	32	0
SITE: 58	59	61	0
SITE: 50	52	55	0
SITE: 15	17	20	0
SITE: 7	9	11	1
SITE: 12	18	20	1
SITE: 12	20	21	1
SITE: 22	23	25	0
SITE: 7	11	12	0
SITE: 22	24	26	1
SITE: 55	58	60	0
SITE: 56	60	62	0
SITE: 1	7	8	1
SITE: 48	53	55	1
SITE: 32	35	40	0
SITE: 40	47	48	1
SITE: 36	40	48	1
SITE: 1	8	12	1
SITE: 50	55	61	0
SITE: 42	48	56	0
SITE: 12	21	22	0
SITE: 25	26	30	0
SITE: 30	32	42	0
SITE: 1	12	15	1
SITE: 15	22	28	0
SITE: 1	4	25	0
SITE: 42	50	61	0
SITE: 42	56	62	0
SITE: 28	30	42	0
SITE: 1	25	28	0
SITE: 1	28	36	0
SITE: 36	61	62	0
SITE: 1	36	42	1
SITE: 1	42	62	1
SITE: 0	1	62	0
SITE: 0	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 15	15	15	1
MPS Info: -8.85627 0.670351 0.10975 
Writing MPS done!
