HHHLHHLHLLLLHLLHHLHLLLHHHLLHHHHHHHHLHHLHHLLHHLLHHHHHLHLHHLLLHHHH
W_LIST: 3.13759 -7.80866 1.30645 -0.217911 -1.17098 -7.40499 0.523176 0.650426 3.77318 4.30543 7.26685 1.37224 -3.74504 -2.0147 5.12611 6.97962 -5.90022 3.12067 2.42149 -1.75949 8.42854 -1.45203 -9.61218 1.26921 -0.454985 6.3265 -2.86317 -8.2208 -5.71233 7.84377 -7.86779 -5.09362 -1.11574 -4.72074 0.928769 -1.41789 1.68025 -3.58439 -9.42849 -3.88929 6.06855 6.27417 2.32067 -8.09269 5.53055 5.1657 0.262539 3.27738 9.90518 -0.515417 -8.11393 -9.32968 -5.16512 8.93892 -0.150714 9.01497 -5.20568 1.89653 2.92943 -6.45394 -5.81017 9.14062 -1.45496 -5.04403 
st	op	ed	phy
SITE: 14	15	17	0
SITE: 41	43	44	1
SITE: 30	31	33	1
SITE: 35	37	38	1
SITE: 21	22	24	1
SITE: 29	30	33	1
SITE: 10	12	13	1
SITE: 51	53	54	0
SITE: 6	8	9	1
SITE: 18	20	21	1
SITE: 33	35	36	0
SITE: 18	21	23	0
SITE: 54	55	57	0
SITE: 41	44	45	0
SITE: 46	48	49	0
SITE: 33	36	38	0
SITE: 18	19	24	0
SITE: 56	58	59	1
SITE: 56	59	60	0
SITE: 28	29	33	0
SITE: 23	25	26	1
SITE: 1	2	4	0
SITE: 45	47	49	0
SITE: 41	45	46	1
SITE: 33	38	39	0
SITE: 24	27	28	1
SITE: 28	33	34	1
SITE: 5	6	9	1
SITE: 56	60	61	1
SITE: 3	5	7	1
SITE: 7	10	11	1
SITE: 54	56	61	1
SITE: 42	46	50	1
SITE: 17	18	24	0
SITE: 39	41	42	1
SITE: 9	13	14	0
SITE: 49	51	52	1
SITE: 1	4	7	1
SITE: 11	14	17	1
SITE: 28	32	39	1
SITE: 3	9	11	1
SITE: 34	40	42	0
SITE: 7	16	17	1
SITE: 7	17	23	1
SITE: 11	24	26	1
SITE: 42	50	52	1
SITE: 39	42	52	1
SITE: 54	61	62	0
SITE: 26	28	39	1
SITE: 0	1	7	1
SITE: 11	26	34	0
SITE: 39	52	54	0
SITE: 39	54	57	1
SITE: 23	39	49	1
SITE: 11	34	49	0
SITE: 0	0	11	0
SITE: 23	57	62	1
SITE: 3	7	23	1
SITE: 11	49	62	1
SITE: 3	11	62	1
SITE: 3	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 23	23	23	0
WARN: Unitary gate is identity
SITE: 3	3	3	0
MPS Info: 50.9687 0.39218 0.00029101 
Writing MPS done!
