LLLLLLHLHHHLHHHLLLHLHLHHHLLLHLHLHHLLHHHLLHLHLLHHHLHHHLHLHHLLHHHL
W_LIST: -2.99348 4.83935 3.33935 0.657276 7.52979 -5.39756 7.91181 -2.94426 2.77588 3.4492 5.47337 9.93897 7.9181 -0.297785 3.27843 -6.37995 -5.33751 4.68716 2.1805 9.20261 8.75274 7.00974 8.56455 -2.05866 -0.392359 0.178226 2.05963 9.24479 -8.57719 2.45879 -6.23603 4.24862 9.77539 -7.91071 -5.26592 -7.06138 -1.89762 -4.15963 -4.86613 0.478248 4.38044 4.40112 -9.29037 -3.30355 9.91688 -5.8203 5.15096 1.61721 9.36875 -8.1524 4.41725 -0.536894 -6.0612 5.31971 2.25417 -6.25912 -1.84583 2.85033 -5.10619 -3.1822 4.71589 -9.46118 -2.67329 8.82354 
st	op	ed	phy
SITE: 57	58	60	0
SITE: 16	17	19	1
SITE: 11	12	14	0
SITE: 57	60	61	0
SITE: 2	4	5	1
SITE: 30	32	33	0
SITE: 18	19	21	1
SITE: 49	50	52	0
SITE: 2	5	6	0
SITE: 22	23	25	1
SITE: 8	10	11	0
SITE: 31	33	35	1
SITE: 53	55	56	0
SITE: 3	6	8	0
SITE: 41	42	44	0
SITE: 11	14	15	0
SITE: 9	11	15	1
SITE: 48	49	52	0
SITE: 56	57	61	0
SITE: 54	59	61	0
SITE: 26	27	29	1
SITE: 20	22	24	0
SITE: 52	53	56	1
SITE: 13	15	18	0
SITE: 18	20	24	0
SITE: 9	16	18	0
SITE: 52	54	61	0
SITE: 45	46	48	0
SITE: 13	21	24	1
SITE: 31	35	36	0
SITE: 47	48	52	0
SITE: 2	7	8	0
SITE: 25	28	29	1
SITE: 47	52	56	1
SITE: 2	8	9	0
SITE: 41	44	45	1
SITE: 36	38	39	1
SITE: 51	61	62	1
SITE: 47	56	62	1
SITE: 39	41	43	0
SITE: 1	2	9	1
SITE: 30	34	36	0
SITE: 24	26	29	1
SITE: 9	18	24	0
SITE: 36	37	40	1
SITE: 1	9	13	0
SITE: 40	45	47	0
SITE: 0	1	13	1
SITE: 31	36	40	1
SITE: 25	30	31	1
SITE: 40	43	51	1
SITE: 24	29	31	1
SITE: 3	24	25	1
SITE: 31	40	47	1
SITE: 3	25	31	0
SITE: 39	47	62	0
SITE: 3	31	39	1
WARN: Unitary gate is identity
SITE: 13	13	13	0
WARN: Unitary gate is identity
SITE: 51	51	51	1
SITE: 0	0	62	0
SITE: 3	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 3	3	3	0
WARN: Unitary gate is identity
SITE: 39	39	39	0
MPS Info: -3.34141 0.124443 0.0455702 
Writing MPS done!
