LLLLHLHHLLLHLHHHHLHHHLHLHHLHHHHHHHLHLHLHLLHLLLHLHLHLLLHLHHHLLHLH
W_LIST: 0.473754 -1.99864 -6.15242 0.876072 -0.295015 5.1043 4.75896 -8.84293 -2.47344 8.23514 5.025 -7.91935 -4.16612 0.131444 7.81651 5.28016 -5.19683 -4.92122 -7.87975 -3.05687 8.83379 9.12518 -1.89127 -7.89062 -5.3767 -6.35884 8.29033 -6.38881 -9.2934 1.11255 9.17191 6.58418 2.49817 -3.7082 -6.81459 6.52775 7.20791 -9.30344 1.27445 6.57013 -1.04159 -6.06714 2.80687 -2.10627 6.01346 1.4332 1.37306 -3.79784 9.23464 -5.06164 2.55004 6.6613 -6.28523 -0.585086 2.85539 -0.0776484 -6.00587 -1.91122 -2.1151 -7.36426 7.3474 -4.11163 2.02213 7.29043 
st	op	ed	phy
SITE: 29	30	32	0
SITE: 16	18	19	1
SITE: 32	34	35	0
SITE: 36	37	39	1
SITE: 44	46	47	0
SITE: 16	17	20	0
SITE: 53	54	56	0
SITE: 25	26	28	1
SITE: 52	55	56	1
SITE: 15	16	20	1
SITE: 32	35	36	0
SITE: 53	56	58	1
SITE: 40	41	43	0
SITE: 25	28	29	1
SITE: 22	23	25	0
SITE: 51	52	57	0
SITE: 19	21	22	1
SITE: 50	51	57	1
SITE: 6	7	9	1
SITE: 2	3	5	1
SITE: 19	20	24	0
SITE: 11	12	14	0
SITE: 59	60	62	1
SITE: 14	15	22	0
SITE: 44	47	48	0
SITE: 13	14	22	0
SITE: 48	49	53	0
SITE: 4	5	8	1
SITE: 13	19	24	1
SITE: 10	11	22	1
SITE: 22	25	27	1
SITE: 39	42	43	0
SITE: 9	10	22	1
SITE: 36	39	40	0
SITE: 4	6	9	0
SITE: 53	57	59	1
SITE: 2	8	9	0
SITE: 32	36	38	1
SITE: 50	58	59	1
SITE: 1	2	9	0
SITE: 48	50	59	0
SITE: 27	31	32	0
SITE: 27	32	33	0
SITE: 33	38	43	1
SITE: 27	33	40	1
SITE: 40	44	45	1
SITE: 27	29	43	0
SITE: 22	27	40	1
SITE: 1	9	13	1
SITE: 0	1	13	0
SITE: 22	24	43	1
SITE: 40	43	48	0
SITE: 40	48	53	0
SITE: 4	22	40	1
SITE: 40	45	59	1
SITE: 40	59	61	0
SITE: 40	61	62	1
SITE: 0	4	40	1
SITE: 13	53	62	1
WARN: Unitary gate is identity
SITE: 13	13	13	0
SITE: 0	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	1
WARN: Unitary gate is identity
SITE: 0	0	0	1
WARN: Unitary gate is identity
SITE: 40	40	40	0
MPS Info: 21.0686 0.136963 0.000793625 
Writing MPS done!
