LLLHHLLLLHHHLHHLLHHLLHHHHHHHHLLHLHHLLLLLHHHLLHHHHLHLHHHHLLLLLHHL
W_LIST: 0.543869 -1.5799 -0.406094 -0.356651 1.34624 2.23304 -0.130427 -0.92211 -1.10229 -1.02758 2.32 1.98566 2.04114 -1.06949 -0.489854 -0.694577 -1.57142 0.17963 0.648434 -1.91122 1.85054 1.36429 -1.6024 -0.871184 2.2021 1.2929 -0.0576383 1.30033 -0.329707 -0.950355 -0.073494 0.208075 0.593584 -2.31504 -2.27855 -0.687967 1.64197 1.69588 -1.46138 -0.102658 -0.326031 2.11652 2.26877 1.1006 2.0856 0.383215 0.682669 -0.986139 -2.16461 0.219032 0.719807 1.74311 -0.89029 1.01768 -0.875624 -1.88121 -0.0571921 -2.22146 1.16101 -0.317243 -0.372627 -0.688908 -2.2432 0.968028 
st	op	ed	phy
SITE: 52	53	55	0
SITE: 8	10	11	0
SITE: 23	24	26	0
SITE: 31	33	34	1
SITE: 46	48	49	1
SITE: 59	61	62	1
SITE: 12	13	15	1
SITE: 7	8	11	0
SITE: 16	18	19	0
SITE: 29	31	32	0
SITE: 30	34	35	1
SITE: 11	12	15	1
SITE: 46	47	50	1
SITE: 6	7	11	0
SITE: 38	40	41	1
SITE: 19	20	22	1
SITE: 36	37	39	1
SITE: 5	9	11	0
SITE: 27	29	30	0
SITE: 55	57	58	0
SITE: 52	55	56	1
SITE: 2	4	5	0
SITE: 51	54	56	1
SITE: 36	38	41	0
SITE: 49	51	52	1
SITE: 32	35	39	0
SITE: 30	36	39	1
SITE: 50	52	58	1
SITE: 25	27	28	0
SITE: 1	2	5	0
SITE: 49	50	58	0
SITE: 30	32	41	1
SITE: 30	41	42	0
SITE: 58	60	62	0
SITE: 30	42	43	0
SITE: 56	58	62	1
SITE: 6	11	15	0
SITE: 15	16	19	0
SITE: 45	46	56	0
SITE: 5	14	15	1
SITE: 44	45	56	0
SITE: 5	15	17	0
SITE: 21	22	25	1
SITE: 26	30	39	1
SITE: 6	19	21	0
SITE: 1	5	6	1
SITE: 28	43	44	1
SITE: 6	17	23	0
SITE: 25	28	39	0
SITE: 21	25	26	0
SITE: 26	44	49	1
SITE: 6	23	26	1
SITE: 26	39	56	1
SITE: 0	1	6	0
SITE: 21	26	56	0
SITE: 21	49	59	0
SITE: 21	59	62	1
SITE: 0	0	21	1
SITE: 6	21	62	0
SITE: 3	3	62	0
SITE: 6	62	63	1
SITE: 6	63	63	1
SITE: 6	56	56	1
WARN: Unitary gate is identity
SITE: 6	6	6	1
MPS Info: 3.53757 1.47322 0.602514 
Writing MPS done!
