LLHHLLLLLHHHLLLLHHHHHHLLHLLHLHLLLLHLHHLLLLHLLLLLLLLHLHHLLHLLHHLH
W_LIST: 2.30574 0.576525 0.488416 -0.581038 -0.541542 0.781479 0.454608 -0.278003 0.404203 -2.1504 1.9649 -1.92838 -2.05477 0.013958 -0.684982 -1.55252 -1.99299 -2.32685 -0.668641 2.09383 -0.274874 -1.06265 0.742035 -0.835374 0.49412 1.87891 1.68969 2.22518 -2.13755 1.08817 1.53871 0.666749 0.864673 -1.02721 1.57901 -1.33675 -1.78082 -1.96795 0.058488 0.517606 -0.0321355 0.546207 -0.592442 -2.09059 1.55272 1.60559 -0.310035 -0.674612 -1.72645 -2.07605 0.666669 2.04922 1.65091 -0.683689 -1.68804 -1.81147 1.86885 1.29293 -1.38564 -0.776803 0.833088 0.387582 0.288818 -1.34846 
st	op	ed	phy
SITE: 25	27	28	0
SITE: 3	5	6	1
SITE: 19	21	22	1
SITE: 29	30	32	1
SITE: 59	60	62	0
SITE: 50	51	53	0
SITE: 19	20	23	1
SITE: 25	26	29	1
SITE: 6	7	9	0
SITE: 58	61	62	0
SITE: 0	0	3	1
SITE: 13	15	16	0
SITE: 14	17	18	1
SITE: 23	25	28	1
SITE: 44	45	47	1
SITE: 41	43	44	0
SITE: 1	2	4	0
SITE: 57	58	62	0
SITE: 42	44	47	1
SITE: 50	52	54	1
SITE: 37	39	40	1
SITE: 36	37	40	1
SITE: 13	16	18	1
SITE: 8	9	11	1
SITE: 11	12	14	0
SITE: 4	8	10	1
SITE: 55	56	59	1
SITE: 24	28	31	0
SITE: 47	49	50	0
SITE: 29	32	33	1
SITE: 41	46	47	0
SITE: 18	19	23	0
SITE: 34	36	38	1
SITE: 55	57	62	0
SITE: 4	10	11	0
SITE: 3	4	11	0
SITE: 48	50	54	1
SITE: 42	48	53	0
SITE: 40	41	47	1
SITE: 33	35	38	0
SITE: 14	18	23	1
SITE: 14	23	24	0
SITE: 6	11	14	1
SITE: 53	55	59	0
SITE: 53	54	62	1
SITE: 38	40	47	0
SITE: 34	38	47	0
SITE: 33	34	47	0
SITE: 13	14	24	1
SITE: 31	33	47	0
SITE: 13	22	29	1
SITE: 31	47	53	1
SITE: 3	13	24	0
SITE: 6	29	31	0
SITE: 24	42	53	1
SITE: 24	53	59	1
SITE: 6	24	59	0
SITE: 3	31	59	0
SITE: 1	3	59	0
SITE: 1	59	62	1
SITE: 1	63	63	1
SITE: 1	62	62	1
SITE: 1	1	6	1
SITE: 6	6	6	0
MPS Info: -8.36331 2.37748 0.54146 
Writing MPS done!
