HLHLHHLLHHHLLHLLHHLLHHHLHLLHLHHLLLHHHHLHLLHLLHHLLLLHHHLLLLHLLLLL
W_LIST: -1.67169 2.05308 -1.84662 0.838402 0.228287 -1.50415 0.886055 -1.86183 -0.11572 0.470755 1.02644 0.459963 0.241419 -0.516881 -1.09527 -0.286489 -0.676554 2.17746 -0.688554 1.64847 -0.414416 -2.06579 1.41295 -0.807607 -2.11533 -2.15363 -0.485377 -1.10649 -1.55123 1.14009 -1.40975 -0.364693 -0.619409 -1.06941 1.95173 -2.43471 -0.922707 -1.18149 -2.23574 0.12219 1.37386 -0.568496 2.04028 -0.326243 1.29807 -0.0776853 0.789015 0.631717 1.74217 0.886589 -2.24109 2.27076 0.38948 -2.31736 2.64656 -0.874638 0.204193 -1.47995 1.7985 2.53118 -0.542174 0.895234 -0.178856 2.13699 
st	op	ed	phy
SITE: 14	16	17	1
SITE: 43	44	46	1
SITE: 31	33	34	0
SITE: 12	14	15	0
SITE: 36	38	39	0
SITE: 45	46	48	0
SITE: 31	34	35	0
SITE: 32	35	37	1
SITE: 25	27	28	1
SITE: 30	31	36	0
SITE: 9	10	12	0
SITE: 59	61	62	1
SITE: 56	57	59	0
SITE: 42	43	47	0
SITE: 21	22	24	0
SITE: 25	28	29	0
SITE: 41	42	47	0
SITE: 51	53	54	1
SITE: 6	7	9	0
SITE: 11	13	15	1
SITE: 0	1	3	1
SITE: 45	48	49	1
SITE: 55	58	59	0
SITE: 15	17	19	0
SITE: 54	55	59	0
SITE: 29	32	36	1
SITE: 26	29	36	0
SITE: 15	19	20	1
SITE: 25	26	36	0
SITE: 18	21	23	1
SITE: 56	59	62	1
SITE: 23	24	30	1
SITE: 52	54	60	1
SITE: 2	3	5	1
SITE: 15	20	23	1
SITE: 30	36	39	1
SITE: 12	18	23	0
SITE: 9	11	15	1
SITE: 40	41	47	0
SITE: 9	12	23	0
SITE: 9	23	25	0
SITE: 2	5	6	1
SITE: 8	9	25	0
SITE: 25	37	39	1
SITE: 47	50	51	0
SITE: 40	45	49	1
SITE: 39	40	49	1
SITE: 47	51	52	0
SITE: 0	2	6	1
SITE: 47	49	56	1
SITE: 47	56	60	1
SITE: 30	39	52	0
SITE: 30	52	60	0
SITE: 25	30	60	1
SITE: 6	8	25	0
SITE: 15	25	60	0
SITE: 15	60	62	0
SITE: 6	15	62	1
SITE: 4	6	62	1
SITE: 0	0	62	1
SITE: 4	63	63	1
SITE: 4	62	62	0
SITE: 4	4	47	1
WARN: Unitary gate is identity
SITE: 47	47	47	0
MPS Info: -3.5957 1.9149 1.07452 
Writing MPS done!
