HLLLHHLHLHLHLHLHLLHHLHLLLLLLLHLHHLLLHHHHLLHLHHHLHLHHLHHLHLHHLHLH
W_LIST: 1.71002 2.47709 -2.2376 -0.721531 1.46316 -1.90133 1.35765 1.25167 1.85777 1.59198 2.36246 2.54882 0.868614 -0.0982398 -1.98913 0.446002 -2.31268 -0.100578 1.91268 0.331397 -0.335364 -1.77586 -1.69162 0.597615 1.88994 -1.43612 0.271633 1.37887 -2.24978 1.60039 -2.34187 0.139923 -2.39712 -2.29056 2.21459 0.179222 0.864888 -0.87842 -1.56662 -1.02953 1.40557 -1.91188 1.42578 2.61484 -2.50906 -0.0964383 0.650975 0.670244 -1.9353 2.12777 1.25777 0.424733 1.94432 0.790157 -2.08704 1.60769 -2.0799 -2.57738 -2.37752 0.225606 0.251096 -0.980505 -0.919258 -1.13164 
st	op	ed	phy
SITE: 1	2	4	0
SITE: 39	41	42	0
SITE: 57	58	60	1
SITE: 46	48	49	1
SITE: 17	18	20	0
SITE: 11	12	14	1
SITE: 35	36	38	0
SITE: 52	54	55	1
SITE: 5	6	8	1
SITE: 27	28	30	0
SITE: 35	38	39	1
SITE: 16	19	20	0
SITE: 7	8	10	1
SITE: 39	40	43	1
SITE: 0	1	4	1
SITE: 27	30	31	0
SITE: 52	55	56	1
SITE: 52	56	57	1
SITE: 21	22	24	0
SITE: 24	25	27	0
SITE: 35	39	42	1
SITE: 16	17	21	1
SITE: 45	46	49	0
SITE: 57	59	61	1
SITE: 34	37	42	1
SITE: 15	16	21	0
SITE: 0	4	5	0
SITE: 31	32	34	1
SITE: 43	44	47	1
SITE: 42	43	47	1
SITE: 31	33	35	0
SITE: 47	49	51	1
SITE: 24	27	29	1
SITE: 26	29	34	0
SITE: 35	42	47	0
SITE: 0	5	7	1
SITE: 9	10	13	1
SITE: 51	52	57	1
SITE: 31	34	45	1
SITE: 53	57	61	0
SITE: 7	11	13	0
SITE: 53	61	62	1
SITE: 20	21	24	1
SITE: 7	13	14	1
SITE: 15	23	24	1
SITE: 50	53	60	1
SITE: 35	47	50	1
SITE: 7	14	15	0
SITE: 45	50	60	0
SITE: 0	0	9	0
SITE: 35	51	60	0
SITE: 9	15	24	0
SITE: 31	45	60	1
SITE: 26	31	60	1
SITE: 3	7	20	1
SITE: 24	26	60	1
SITE: 9	24	35	1
SITE: 9	20	60	0
SITE: 9	60	62	0
SITE: 3	3	62	1
SITE: 9	63	63	1
SITE: 9	62	62	0
SITE: 9	9	35	1
SITE: 35	35	35	0
MPS Info: -5.37248 0.966291 0.0633159 
Writing MPS done!
