LHLLHHLLLLHLLHLHLHHHHHHLLHHLHHHHLLLHHLLLLHLLLLHHLLHHLHLLLHHHLHLL
W_LIST: -0.884818 0.587261 -0.506529 0.149025 1.38622 -0.235025 -0.39754 -0.422796 -0.538491 1.82488 1.75817 -0.365864 -1.23321 -1.33293 1.19271 -1.86764 -0.818176 -1.22438 1.61484 0.210298 -0.489904 1.79281 0.0651728 0.223103 1.37508 0.762283 1.92752 1.56198 0.40933 -0.181055 1.04257 -1.41244 -0.455842 1.95042 0.874544 0.273314 -0.725935 -1.57196 0.809696 -1.31027 0.961439 -1.39726 -1.07989 1.12068 1.56352 -0.0161101 0.904614 0.388071 1.60494 1.86695 -1.57717 1.8713 0.78569 -0.751816 0.66721 1.74313 1.30561 1.36266 -1.22815 -0.896317 1.80302 0.904098 1.5356 0.979597 
st	op	ed	phy
SITE: 56	57	59	0
SITE: 1	2	4	0
SITE: 18	20	21	1
SITE: 59	60	62	1
SITE: 29	31	32	1
SITE: 3	4	6	0
SITE: 35	37	38	0
SITE: 25	26	28	0
SITE: 14	15	17	1
SITE: 50	51	53	0
SITE: 47	49	50	1
SITE: 19	21	23	0
SITE: 46	48	50	1
SITE: 23	24	27	1
SITE: 52	53	55	1
SITE: 11	13	14	1
SITE: 6	8	9	0
SITE: 19	22	25	0
SITE: 54	55	58	1
SITE: 11	12	16	0
SITE: 56	59	61	1
SITE: 36	38	40	1
SITE: 18	19	25	1
SITE: 46	50	52	1
SITE: 32	33	35	1
SITE: 36	39	41	0
SITE: 3	6	7	0
SITE: 36	40	42	1
SITE: 28	30	32	0
SITE: 18	25	27	0
SITE: 0	1	5	0
SITE: 41	43	44	1
SITE: 9	10	14	0
SITE: 17	18	27	0
SITE: 32	35	36	0
SITE: 5	9	11	1
SITE: 7	11	16	1
SITE: 0	3	7	1
SITE: 56	58	62	1
SITE: 23	27	29	1
SITE: 29	32	36	0
SITE: 28	34	36	1
SITE: 14	17	23	1
SITE: 29	41	42	1
SITE: 52	56	61	1
SITE: 42	44	46	1
SITE: 29	42	45	0
SITE: 28	36	45	1
SITE: 0	7	14	1
SITE: 14	16	28	0
SITE: 14	28	29	0
SITE: 0	0	23	0
SITE: 47	52	61	1
SITE: 29	46	47	0
SITE: 29	47	54	1
SITE: 5	5	29	0
SITE: 23	45	54	0
SITE: 14	14	54	0
SITE: 29	54	62	0
SITE: 23	61	62	1
SITE: 23	62	63	1
SITE: 23	63	63	1
SITE: 23	23	29	1
SITE: 29	29	29	1
MPS Info: -4.16713 1.31863 0.536957 
Writing MPS done!
