LLLHHLLLHHLLLLLLLHHHHHLHHLHHHHLLLLHLLHHLHHHLLHHHLLHHLHLHLLLLHLLL
W_LIST: -1.18644 -0.0399355 -1.29776 1.71574 -1.62691 -1.03304 1.57276 -1.38138 0.528895 1.59655 -0.053421 1.9186 0.543629 -0.875091 -1.96667 -1.43019 0.665212 -0.806649 1.55057 -0.866476 -0.403449 1.38261 -0.421034 0.669006 1.39178 0.456076 0.573595 -0.447199 -0.354631 1.04962 1.47771 -1.58784 -0.218207 -1.56691 1.88929 -1.23162 -1.68003 0.941312 -0.640344 -1.47893 -0.822058 0.769925 1.15717 1.06445 1.39987 1.05429 -1.79181 -1.38798 0.128556 -1.50291 0.43114 0.216048 -0.7866 -1.71694 1.30851 -0.996629 -0.465096 1.61701 -0.704319 1.30948 1.9433 -0.056382 -1.45595 0.677614 
st	op	ed	phy
SITE: 26	27	29	1
SITE: 32	34	35	0
SITE: 7	9	10	0
SITE: 13	14	16	0
SITE: 23	24	26	0
SITE: 54	55	57	1
SITE: 6	7	10	0
SITE: 46	47	49	1
SITE: 17	18	20	0
SITE: 38	39	41	0
SITE: 29	31	32	0
SITE: 26	29	30	0
SITE: 0	2	3	0
SITE: 43	44	46	1
SITE: 40	42	43	0
SITE: 3	4	6	1
SITE: 43	46	48	1
SITE: 43	45	49	1
SITE: 50	52	53	0
SITE: 21	23	25	0
SITE: 13	15	17	0
SITE: 43	49	50	0
SITE: 28	30	33	1
SITE: 3	6	8	1
SITE: 25	28	32	1
SITE: 0	3	5	0
SITE: 5	8	11	0
SITE: 13	16	19	1
SITE: 12	17	19	1
SITE: 37	40	41	1
SITE: 50	53	54	1
SITE: 11	12	19	1
SITE: 50	51	56	0
SITE: 32	33	36	0
SITE: 26	32	36	1
SITE: 43	50	54	0
SITE: 19	21	22	0
SITE: 37	41	43	0
SITE: 35	36	38	0
SITE: 19	22	25	1
SITE: 37	43	48	1
SITE: 5	11	13	1
SITE: 48	56	57	0
SITE: 5	13	19	0
SITE: 59	60	62	0
SITE: 10	19	25	1
SITE: 38	48	57	1
SITE: 37	38	57	1
SITE: 57	59	61	1
SITE: 5	20	25	1
SITE: 1	5	25	0
SITE: 25	35	37	0
SITE: 25	37	54	0
SITE: 54	57	61	1
SITE: 25	54	58	0
SITE: 10	25	58	1
SITE: 1	26	58	1
SITE: 1	58	61	0
SITE: 1	10	62	0
SITE: 0	0	62	0
SITE: 1	62	63	0
SITE: 1	63	63	1
SITE: 1	1	61	1
SITE: 61	61	61	1
MPS Info: -5.90478 1.57357 0.260131 
Writing MPS done!
