LLLLLHLHHLHLLHLLLHLLHLHHLHLLLHHLHHHLHHHHLLHLLHHLLLLHHHHLLHHLHHHH
W_LIST: -0.0306926 -0.985934 -1.79501 0.45534 -1.56851 -1.53242 -0.811519 -0.680934 0.112453 0.525199 1.13046 -1.36751 1.84889 -0.732015 -0.453974 -1.54349 -0.621229 1.32389 -0.469511 -0.952967 -0.376432 0.754423 1.42703 0.05835 -1.603 -0.389613 -1.3495 -0.325066 -0.593369 1.93421 -1.38631 1.85735 1.35605 -0.16607 -1.2936 -0.701908 0.0218096 -0.773291 1.40652 -0.781635 1.3706 -0.0528297 -0.143751 -1.20312 0.0987309 -1.86121 -0.384439 0.80701 1.41719 -1.806 -0.191262 -0.0512201 0.47206 -1.01854 1.50892 -1.6028 -0.518442 -1.30351 -1.04062 1.24879 1.48714 0.393468 0.109186 -1.16676 
st	op	ed	phy
SITE: 38	40	41	1
SITE: 34	35	37	0
SITE: 42	43	45	0
SITE: 31	32	34	0
SITE: 47	49	50	0
SITE: 58	60	61	0
SITE: 19	20	22	1
SITE: 38	39	42	1
SITE: 8	10	11	0
SITE: 54	55	57	0
SITE: 8	9	12	1
SITE: 13	15	16	0
SITE: 46	48	50	1
SITE: 58	59	62	1
SITE: 33	36	37	0
SITE: 7	11	12	0
SITE: 30	31	34	1
SITE: 37	38	42	0
SITE: 50	52	53	0
SITE: 17	19	21	0
SITE: 3	5	6	1
SITE: 44	45	47	1
SITE: 18	22	23	0
SITE: 24	26	27	0
SITE: 28	29	33	0
SITE: 33	34	41	1
SITE: 2	4	6	0
SITE: 57	58	62	1
SITE: 8	12	14	1
SITE: 13	14	17	1
SITE: 54	57	61	1
SITE: 8	13	17	1
SITE: 7	8	17	1
SITE: 44	46	50	1
SITE: 7	17	18	0
SITE: 47	50	53	1
SITE: 28	30	37	1
SITE: 28	33	41	0
SITE: 23	24	27	0
SITE: 18	23	25	0
SITE: 37	41	44	0
SITE: 51	54	56	0
SITE: 53	61	62	0
SITE: 28	42	44	0
SITE: 1	2	6	0
SITE: 25	27	37	1
SITE: 18	25	28	0
SITE: 6	7	18	1
SITE: 21	28	44	0
SITE: 21	44	47	1
SITE: 21	47	51	0
SITE: 0	3	6	1
SITE: 21	51	53	1
SITE: 18	21	53	1
SITE: 37	53	62	1
SITE: 18	56	62	0
SITE: 16	18	62	0
SITE: 1	6	37	0
SITE: 0	1	37	0
SITE: 0	0	62	1
SITE: 16	63	63	1
SITE: 16	16	62	1
SITE: 37	62	62	0
SITE: 37	37	37	1
MPS Info: -0.217436 2.1723 0.687095 
Writing MPS done!
