LLLLLHHHHLLLHHLHLLHLLLLHHLLLLLLHLHHHLHLHLHHLLHHHLHHLLHLLLLLLLLLL
W_LIST: -0.0659277 -0.194133 -1.84035 -0.0873416 1.33077 0.41863 0.735204 1.30982 1.8045 -0.0961015 1.54304 -0.153889 1.66783 -0.488785 0.117605 -0.936097 -1.20818 -1.45419 -1.50365 -1.9 1.6695 -0.713494 0.168729 1.42024 0.905872 -1.42729 -1.81877 1.48256 -0.999224 1.838 -0.655145 -1.48584 1.2323 -1.78465 0.495488 0.998597 -1.48506 0.311883 0.886185 -1.99623 -1.70188 -0.651512 -1.95531 -1.858 1.88679 -0.41756 0.808087 1.73849 -1.99214 -0.721235 -1.24935 0.694425 -0.988219 -1.03126 -0.150387 0.566699 -0.209129 1.33162 -0.0123336 -0.454376 -1.68834 0.758213 -1.23008 -0.702183 
st	op	ed	phy
SITE: 8	10	11	1
SITE: 39	40	42	0
SITE: 47	48	50	0
SITE: 32	33	35	1
SITE: 24	26	27	0
SITE: 41	42	44	1
SITE: 38	39	43	1
SITE: 8	11	12	0
SITE: 43	44	46	1
SITE: 34	36	37	0
SITE: 29	31	32	1
SITE: 52	53	55	1
SITE: 17	19	20	0
SITE: 14	15	17	1
SITE: 43	45	47	1
SITE: 13	16	17	0
SITE: 28	29	32	1
SITE: 4	6	7	0
SITE: 35	37	41	0
SITE: 41	43	47	0
SITE: 4	7	8	0
SITE: 22	23	25	0
SITE: 9	12	14	0
SITE: 27	30	32	0
SITE: 9	14	17	0
SITE: 28	32	35	0
SITE: 25	27	34	1
SITE: 51	52	55	0
SITE: 4	8	9	0
SITE: 51	54	56	0
SITE: 4	5	13	0
SITE: 4	9	17	0
SITE: 28	35	38	0
SITE: 24	28	34	0
SITE: 59	60	62	0
SITE: 56	57	59	1
SITE: 50	55	56	1
SITE: 4	17	18	0
SITE: 49	50	56	1
SITE: 20	21	24	0
SITE: 34	38	46	1
SITE: 1	2	4	0
SITE: 56	58	61	0
SITE: 24	25	41	0
SITE: 18	20	24	1
SITE: 41	47	49	0
SITE: 3	4	18	1
SITE: 0	3	13	1
SITE: 56	61	62	1
SITE: 34	46	49	0
SITE: 41	51	56	1
SITE: 1	13	22	0
SITE: 41	56	59	0
SITE: 24	34	49	0
SITE: 22	24	49	0
SITE: 22	49	59	1
SITE: 1	22	41	1
SITE: 1	18	59	1
SITE: 0	0	59	0
SITE: 1	59	62	1
SITE: 1	62	63	0
SITE: 1	1	63	1
SITE: 41	41	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
MPS Info: -13.7525 1.58193 0.203186 
Writing MPS done!
