LLHHLLLHLLLLHLHLLLHHHLLLLLHLLLLHLHLHHHHLLHLHLLHHHHHHHLLLHLHHLHLH
W_LIST: 1.10349 2.74137 0.510539 0.831001 1.44277 0.945634 -2.40108 -3.09801 -1.56079 2.46817 1.7329 -1.56372 -0.945641 -1.07587 0.755315 1.3129 -0.9875 -0.995311 2.5282 0.990904 -0.59977 1.96056 -1.10579 -1.84489 2.33122 -2.82555 -0.172103 0.912775 -1.22646 2.77215 2.82264 -2.78978 -0.165485 1.12293 -2.66955 -3.3035 3.06846 -3.00042 -2.27333 0.727175 0.476512 3.08611 -2.87096 -1.6045 -1.13545 -0.683499 -1.89813 -0.459538 2.31496 -1.97776 -0.940231 2.31172 0.71138 2.99784 2.71256 -0.610236 -2.2485 2.90407 -0.736599 0.686614 -3.30762 2.43652 1.74537 -2.45317 
st	op	ed	phy
SITE: 17	18	20	0
SITE: 11	13	14	0
SITE: 7	9	10	1
SITE: 46	48	49	0
SITE: 33	35	36	1
SITE: 16	19	20	0
SITE: 31	33	34	0
SITE: 29	31	32	1
SITE: 54	56	57	1
SITE: 24	25	27	0
SITE: 28	29	32	1
SITE: 0	1	3	1
SITE: 15	16	20	0
SITE: 14	15	20	1
SITE: 51	53	54	1
SITE: 5	7	8	1
SITE: 10	11	14	0
SITE: 24	27	28	1
SITE: 17	21	22	1
SITE: 8	10	14	1
SITE: 52	54	57	1
SITE: 6	8	14	0
SITE: 57	58	60	1
SITE: 6	14	17	0
SITE: 30	34	36	0
SITE: 28	30	36	1
SITE: 47	49	51	1
SITE: 28	36	37	0
SITE: 46	50	51	1
SITE: 0	3	4	0
SITE: 42	43	45	1
SITE: 17	22	23	0
SITE: 28	37	38	1
SITE: 4	6	12	0
SITE: 38	39	41	1
SITE: 32	38	41	1
SITE: 32	41	42	0
SITE: 28	40	42	1
SITE: 44	46	47	1
SITE: 0	4	5	1
SITE: 17	23	24	0
SITE: 20	24	28	1
SITE: 55	57	60	1
SITE: 42	44	47	0
SITE: 59	60	62	0
SITE: 32	42	47	0
SITE: 26	28	45	0
SITE: 17	20	32	1
SITE: 32	45	51	1
SITE: 12	26	32	1
SITE: 47	51	55	0
SITE: 12	32	47	0
SITE: 12	47	52	1
SITE: 2	5	17	1
SITE: 17	55	59	0
SITE: 0	0	17	1
SITE: 52	61	62	0
SITE: 2	2	52	1
SITE: 17	59	62	0
SITE: 12	52	62	0
SITE: 12	63	63	1
SITE: 12	62	62	1
SITE: 12	12	17	0
SITE: 17	17	17	1
MPS Info: -7.46337 0.694145 0.104097 
Writing MPS done!
