LHLHLLLHLLLLHLHLHLHHHHHLHLHLLHLLHHHLHLLLLLHHLLHHHHLLHLHLLLHLLHLL
W_LIST: -1.76655 0.90954 -1.22082 2.3903 -0.195472 2.5312 -1.10544 2.54907 -0.130281 -2.1339 -0.29783 2.83422 3.09942 -0.194451 0.0842627 1.94693 0.411379 1.47388 0.739482 -0.873928 2.89667 -2.57539 2.95319 -1.61084 3.19587 -0.709421 -0.69736 -2.33083 -2.6972 -1.10236 1.16284 3.1163 -1.78925 3.09278 3.03025 1.29177 -0.433335 -0.243232 -2.98363 1.02686 2.66238 -0.650472 3.10072 3.07412 -2.49112 -1.32844 -1.88604 1.74067 0.929567 -1.1809 1.88546 2.66321 2.47135 -1.35767 0.617168 0.983424 -1.91113 -2.43378 -0.144386 -2.35125 3.20619 -2.11817 -1.93259 -1.16141 
st	op	ed	phy
SITE: 46	47	49	0
SITE: 31	33	34	0
SITE: 9	11	12	1
SITE: 8	9	12	0
SITE: 59	60	62	1
SITE: 13	15	16	1
SITE: 58	59	62	0
SITE: 36	38	39	0
SITE: 57	61	62	1
SITE: 37	40	41	1
SITE: 27	28	30	0
SITE: 54	56	57	0
SITE: 53	55	57	1
SITE: 53	57	58	0
SITE: 36	39	41	1
SITE: 18	20	21	0
SITE: 19	22	23	0
SITE: 29	31	32	1
SITE: 13	14	17	1
SITE: 19	21	24	1
SITE: 35	36	41	1
SITE: 10	12	16	0
SITE: 23	24	26	0
SITE: 34	35	41	1
SITE: 26	27	30	0
SITE: 29	32	34	1
SITE: 44	46	48	1
SITE: 16	17	19	1
SITE: 16	19	23	1
SITE: 34	41	42	0
SITE: 3	5	6	1
SITE: 3	6	7	0
SITE: 52	53	58	0
SITE: 8	10	16	0
SITE: 45	49	50	1
SITE: 16	23	25	0
SITE: 48	51	52	1
SITE: 7	8	16	1
SITE: 50	52	58	0
SITE: 25	29	30	1
SITE: 0	0	3	0
SITE: 18	26	30	1
SITE: 16	18	30	1
SITE: 2	3	7	0
SITE: 25	34	37	0
SITE: 37	42	44	0
SITE: 48	54	58	0
SITE: 2	7	13	0
SITE: 13	16	30	1
SITE: 43	44	48	0
SITE: 2	4	25	0
SITE: 37	43	48	0
SITE: 30	45	48	0
SITE: 25	30	48	1
SITE: 2	13	37	0
SITE: 48	58	62	0
SITE: 37	48	62	0
SITE: 2	25	50	0
SITE: 2	50	62	1
SITE: 1	1	62	0
SITE: 2	62	63	0
SITE: 2	63	63	0
SITE: 2	2	37	0
SITE: 37	37	37	0
MPS Info: -3.44201 0.663294 0.241444 
Writing MPS done!
