LHHLHLHLLLLLHLHLLHLHLLHLLHLLHHHHHHHLLLHHLHLLHHHHHLLLLHHLHHLHHHLL
W_LIST: 2.91047 -2.85702 -0.468377 -3.0747 -2.12541 -0.0488281 -1.22032 -1.96257 -3.27964 -1.38456 -1.58202 -2.99373 0.624705 -0.0276957 -1.48269 3.14688 1.57603 -0.0389719 2.38108 -2.30673 -0.401842 2.68646 -2.2189 1.67345 -0.960549 -1.02907 1.72327 0.47552 -2.97545 -2.73537 0.488825 -1.52634 2.04355 -1.93455 -2.01141 3.24115 0.884164 -2.2416 -0.598015 -2.15644 0.555918 -0.277393 2.2505 -0.900735 2.6524 -0.730452 -2.24375 -0.363075 -0.232534 1.12986 1.16005 -2.31029 -2.05568 -2.54168 -2.47926 -1.05507 -1.30731 0.156363 2.12765 1.57401 -1.32146 -2.25987 -0.108417 2.68298 
st	op	ed	phy
SITE: 40	42	43	1
SITE: 20	21	23	1
SITE: 41	44	45	0
SITE: 8	10	11	0
SITE: 26	28	29	1
SITE: 15	16	18	1
SITE: 36	37	39	0
SITE: 12	14	15	1
SITE: 29	31	32	1
SITE: 48	49	51	1
SITE: 17	19	20	1
SITE: 25	26	29	1
SITE: 57	58	60	1
SITE: 54	56	57	1
SITE: 27	29	32	1
SITE: 47	48	51	1
SITE: 39	40	43	1
SITE: 24	25	30	1
SITE: 15	18	20	1
SITE: 30	33	34	1
SITE: 36	39	41	1
SITE: 35	36	41	1
SITE: 20	22	24	1
SITE: 8	11	12	0
SITE: 34	35	41	1
SITE: 41	43	46	0
SITE: 15	20	23	0
SITE: 38	41	46	1
SITE: 30	34	38	1
SITE: 32	38	46	1
SITE: 3	4	6	1
SITE: 57	60	61	1
SITE: 47	51	52	0
SITE: 27	32	45	0
SITE: 3	6	7	1
SITE: 12	15	17	1
SITE: 0	1	3	1
SITE: 57	61	62	1
SITE: 7	8	12	0
SITE: 30	46	47	1
SITE: 13	17	24	1
SITE: 55	57	62	1
SITE: 52	54	55	1
SITE: 24	27	45	0
SITE: 7	12	13	0
SITE: 52	53	59	1
SITE: 52	55	62	0
SITE: 13	24	30	0
SITE: 47	52	59	0
SITE: 5	7	13	0
SITE: 0	3	5	0
SITE: 30	47	50	1
SITE: 5	9	23	1
SITE: 0	0	13	1
SITE: 45	50	62	1
SITE: 30	45	62	1
SITE: 23	59	62	0
SITE: 13	23	62	1
SITE: 5	30	62	1
SITE: 2	2	62	1
SITE: 5	63	63	1
SITE: 5	62	62	0
SITE: 5	5	13	0
SITE: 13	13	13	0
MPS Info: -0.361162 0.427142 0.0916143 
Writing MPS done!
