HHLHHHHHHLHLHHHLHHHLLHHHHHHLHHHLHHHHHHHLHHHLHHLHHLLHLHLHHLHHHHLL
W_LIST: -2.97981 -2.15506 1.86445 1.41388 0.577483 2.28258 2.51975 1.16793 -2.22499 1.89792 0.53844 -2.51828 0.162009 0.067593 -0.475239 -0.924572 -0.612738 0.047968 2.3677 1.63166 -0.383848 0.936091 -2.32009 2.59875 2.37293 -0.260302 3.10648 -0.775139 -3.13445 -0.814237 -2.75061 -3.22785 0.428007 -1.00159 -0.135211 -0.402064 0.685593 3.27647 0.765195 -3.02405 -0.647773 1.83865 2.71609 1.58506 1.78584 -1.34018 1.35756 -1.56521 1.95769 -0.403989 0.745534 1.50771 0.114586 0.58745 -2.34579 2.53721 -0.0108374 -3.1207 0.571677 2.8656 -2.95727 -3.29227 0.933966 0.122626 
st	op	ed	phy
SITE: 2	3	5	0
SITE: 34	36	37	0
SITE: 50	51	53	0
SITE: 54	55	57	0
SITE: 1	2	5	1
SITE: 16	18	19	0
SITE: 39	41	42	0
SITE: 57	59	60	0
SITE: 54	57	58	0
SITE: 52	54	56	0
SITE: 0	0	5	1
SITE: 43	44	46	0
SITE: 31	33	34	1
SITE: 20	22	23	1
SITE: 16	19	20	1
SITE: 29	31	32	0
SITE: 4	6	7	0
SITE: 7	8	10	1
SITE: 35	37	39	0
SITE: 14	15	17	0
SITE: 42	43	46	1
SITE: 45	47	48	1
SITE: 40	42	46	0
SITE: 1	1	7	1
SITE: 30	34	35	1
SITE: 30	32	38	0
SITE: 21	24	25	0
SITE: 48	50	52	1
SITE: 4	5	9	0
SITE: 46	48	52	0
SITE: 20	23	25	0
SITE: 13	16	17	1
SITE: 27	28	30	1
SITE: 25	26	29	0
SITE: 10	11	13	0
SITE: 25	29	30	1
SITE: 13	14	20	0
SITE: 35	39	40	0
SITE: 17	20	25	0
SITE: 40	46	49	1
SITE: 4	4	10	0
SITE: 49	53	56	0
SITE: 27	30	38	1
SITE: 38	45	49	1
SITE: 21	27	35	0
SITE: 49	56	58	0
SITE: 17	21	35	0
SITE: 38	49	52	0
SITE: 9	12	13	0
SITE: 40	58	60	0
SITE: 17	25	38	0
SITE: 38	52	60	1
SITE: 40	61	62	1
SITE: 9	10	17	0
SITE: 35	38	60	0
SITE: 17	40	60	0
SITE: 17	60	62	1
SITE: 7	9	17	1
SITE: 13	17	62	1
SITE: 7	7	62	0
SITE: 13	62	63	1
SITE: 13	63	63	0
SITE: 13	13	35	0
SITE: 35	35	35	1
MPS Info: 26.4713 0.547406 0.0922022 
Writing MPS done!
