LLLHHLLHHLHLHHHHHLLHHLLLLHHLLLLLLHLHHHHHLHHLHHLLLHLLLHLHLLHLLHLL
W_LIST: 1.3418 0.115038 0.727076 2.89957 -1.7056 1.21849 -0.980026 -3.37118 -0.588363 -2.33327 0.394551 1.15947 -0.376691 -2.07271 -1.26181 -0.780049 1.06288 1.75383 -0.756303 -2.76475 -0.827307 0.207422 3.39 0.30778 0.699768 0.692321 1.52837 1.70732 0.137427 3.39898 0.42629 1.84981 0.271066 -0.16179 -2.16215 -2.53472 1.56766 0.0505053 -0.594194 -2.07533 -2.87098 -1.73688 3.47485 0.633321 -0.472284 1.28501 0.869121 3.40572 0.382507 1.17602 2.83918 -0.188253 -1.1935 3.34148 1.73444 -1.29109 -3.6034 0.867309 2.74687 -0.331742 0.666836 1.34302 -0.499964 2.92339 
st	op	ed	phy
SITE: 23	24	26	1
SITE: 14	15	17	1
SITE: 20	22	23	1
SITE: 0	0	3	1
SITE: 5	7	8	1
SITE: 54	56	57	0
SITE: 10	11	13	1
SITE: 6	9	10	0
SITE: 5	6	10	0
SITE: 3	5	8	1
SITE: 17	19	20	1
SITE: 58	59	61	0
SITE: 16	17	20	1
SITE: 37	39	40	1
SITE: 8	12	13	1
SITE: 8	13	14	1
SITE: 47	49	50	0
SITE: 23	26	27	0
SITE: 42	44	45	1
SITE: 4	8	14	1
SITE: 16	18	21	0
SITE: 14	20	21	1
SITE: 29	31	32	1
SITE: 54	57	58	1
SITE: 23	27	28	1
SITE: 53	54	58	1
SITE: 25	29	30	1
SITE: 2	3	10	0
SITE: 1	4	10	1
SITE: 14	21	23	0
SITE: 10	14	23	1
SITE: 10	23	25	0
SITE: 28	30	33	0
SITE: 41	42	45	0
SITE: 50	52	53	0
SITE: 58	61	62	0
SITE: 53	58	60	0
SITE: 40	41	45	1
SITE: 34	35	37	1
SITE: 40	45	46	0
SITE: 38	40	46	0
SITE: 37	38	46	1
SITE: 1	2	16	1
SITE: 48	50	53	1
SITE: 46	47	51	1
SITE: 53	60	62	1
SITE: 25	32	33	0
SITE: 36	43	46	1
SITE: 16	28	33	0
SITE: 37	46	51	1
SITE: 10	16	33	0
SITE: 37	51	53	1
SITE: 33	34	37	0
SITE: 36	37	53	0
SITE: 25	33	48	0
SITE: 48	53	62	0
SITE: 25	36	55	0
SITE: 25	55	62	1
SITE: 1	1	48	0
SITE: 10	25	62	0
SITE: 10	63	63	1
SITE: 10	62	62	0
SITE: 10	48	48	0
SITE: 10	10	10	0
MPS Info: -6.68141 1.35257 0.185514 
Writing MPS done!
