HLHHHLHLLLLLHLLHHHLHHLLLLLHHLHHHLHLLLHLHHHHLLHHLHHHLLHHHHLLHHLHH
W_LIST: -2.23566 1.37592 -2.45787 2.1467 2.32843 1.67996 -1.61134 1.11516 -3.25567 1.78471 0.657279 -1.58804 0.663509 -1.15631 -2.55301 -1.50572 0.14322 0.759944 0.945068 -3.31873 3.00574 -0.156112 -3.07318 -3.60347 -0.181805 -1.06432 0.190915 2.48958 -1.39169 1.74475 -3.27776 -1.70377 -0.625795 1.49056 -0.588566 0.858065 1.48797 -3.61153 -2.12404 2.39084 0.19299 0.313373 -1.19754 0.749524 -1.48608 -2.74877 -1.09668 -0.835396 1.31619 -0.76522 -1.14731 1.7599 3.20821 -3.16527 -0.641954 2.14636 -0.285084 0.461402 0.592862 -0.720449 -2.25488 0.564304 2.20475 2.0902 
st	op	ed	phy
SITE: 44	45	47	1
SITE: 5	6	8	1
SITE: 51	52	54	1
SITE: 38	39	41	0
SITE: 22	23	25	0
SITE: 59	60	62	1
SITE: 36	37	40	1
SITE: 11	13	14	0
SITE: 21	22	25	0
SITE: 55	56	58	1
SITE: 3	4	7	0
SITE: 54	55	58	0
SITE: 11	14	15	0
SITE: 57	59	61	1
SITE: 48	50	51	1
SITE: 28	30	31	1
SITE: 34	35	38	1
SITE: 0	2	3	1
SITE: 26	27	29	0
SITE: 1	3	7	0
SITE: 24	25	28	0
SITE: 40	42	43	1
SITE: 51	53	57	1
SITE: 31	33	34	0
SITE: 40	43	44	1
SITE: 41	44	47	0
SITE: 18	19	21	1
SITE: 10	11	15	0
SITE: 16	18	20	1
SITE: 12	15	17	1
SITE: 16	20	21	0
SITE: 5	8	9	0
SITE: 47	48	51	0
SITE: 31	34	36	0
SITE: 28	31	32	1
SITE: 0	0	7	1
SITE: 51	54	58	1
SITE: 32	38	40	0
SITE: 17	24	26	1
SITE: 49	51	58	1
SITE: 29	32	40	0
SITE: 10	12	17	0
SITE: 9	10	17	1
SITE: 41	46	49	1
SITE: 21	26	29	0
SITE: 1	5	9	1
SITE: 21	29	36	0
SITE: 36	40	47	0
SITE: 36	47	49	0
SITE: 57	58	62	1
SITE: 21	28	41	0
SITE: 36	49	57	1
SITE: 21	36	57	1
SITE: 41	57	62	0
SITE: 9	16	21	0
SITE: 17	21	61	1
SITE: 9	17	61	0
SITE: 9	41	62	0
SITE: 1	9	61	1
SITE: 1	7	62	1
SITE: 1	62	63	0
SITE: 1	63	63	0
SITE: 1	61	61	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
MPS Info: 12.2763 0.990731 0.228076 
Writing MPS done!
