LLLLLHHLLHLLHLLLLHLLLHLLLHLHHLLHHLHHHHLLHLLLLLHLHLLLHHHLLLLLLHHH
W_LIST: -3.14614 2.05338 2.21516 3.5402 -2.65664 2.68793 -2.89155 1.31751 -1.31839 -2.96004 -0.91828 0.110311 0.840727 -0.815928 -2.61431 -3.23926 1.47478 2.9005 -0.932708 -2.06049 -0.589988 -0.918568 2.05536 -2.12822 0.74561 3.51178 -2.18814 -0.147865 -1.95965 -0.542819 1.62074 1.36833 0.923372 -2.49685 0.623337 0.654243 -1.05134 -0.370571 2.74545 1.12171 3.21332 -3.10796 2.29557 -3.18103 2.73851 0.563256 -2.87256 2.19047 -0.0101608 2.90575 -2.628 -1.07193 -1.84944 0.692222 3.49482 2.16827 -1.14399 1.56549 -3.1352 2.06317 1.05191 2.3665 -1.39178 -1.56555 
st	op	ed	phy
SITE: 26	28	29	1
SITE: 50	52	53	1
SITE: 54	55	57	1
SITE: 23	25	26	0
SITE: 17	19	20	0
SITE: 11	12	14	0
SITE: 38	40	41	0
SITE: 13	15	16	0
SITE: 43	44	46	1
SITE: 56	58	59	0
SITE: 34	36	37	1
SITE: 27	30	31	1
SITE: 4	6	7	1
SITE: 20	22	23	1
SITE: 37	38	41	1
SITE: 43	46	47	1
SITE: 27	29	32	0
SITE: 3	4	7	0
SITE: 59	61	62	0
SITE: 53	54	57	0
SITE: 26	31	32	0
SITE: 11	14	16	0
SITE: 34	37	39	1
SITE: 41	43	45	0
SITE: 8	9	11	1
SITE: 48	50	51	0
SITE: 13	17	18	0
SITE: 8	10	13	0
SITE: 35	41	42	0
SITE: 5	8	11	0
SITE: 18	21	23	1
SITE: 56	59	60	1
SITE: 53	57	60	1
SITE: 11	16	18	1
SITE: 11	13	20	1
SITE: 20	23	26	0
SITE: 2	3	7	1
SITE: 34	39	42	1
SITE: 45	47	49	1
SITE: 24	26	32	0
SITE: 18	24	27	1
SITE: 45	49	51	1
SITE: 48	51	56	0
SITE: 45	48	56	1
SITE: 34	42	45	1
SITE: 32	33	35	0
SITE: 35	53	56	0
SITE: 32	34	45	0
SITE: 35	56	60	0
SITE: 35	60	62	1
SITE: 18	20	32	0
SITE: 0	0	5	0
SITE: 18	32	35	0
SITE: 18	35	45	0
SITE: 5	7	18	1
SITE: 11	27	45	0
SITE: 1	1	11	1
SITE: 11	45	62	0
SITE: 2	5	18	0
SITE: 2	2	62	1
SITE: 11	63	63	1
SITE: 11	62	62	1
SITE: 11	11	18	1
SITE: 18	18	18	1
MPS Info: -18.1059 0.816453 5.5648e-05 
Writing MPS done!
