LLHHLLLLLLHLLHHLLLHLHHHLLLHLLLHHLHLHHLLLLHHHLHHHHLHLHLLLHLHHLHLH
W_LIST: -1.03113 0.322206 1.30517 1.23367 -2.54977 1.77407 0.0652188 2.59932 -2.08048 2.39939 1.24821 1.41674 3.22936 -0.554099 0.153915 -3.44659 -0.87941 -0.520612 2.69054 -2.21877 -0.540547 -2.06815 -1.88269 -3.24572 2.58516 1.96417 1.61259 0.0756379 -2.39654 1.07597 -3.62042 0.35302 -3.51573 0.0666802 2.11865 1.62361 2.06304 -3.50829 -0.828795 2.39776 -0.0941163 2.7064 -0.0851134 -0.0106847 0.357422 2.54789 -0.297072 -1.1127 2.34803 2.35111 3.553 -1.56103 0.45391 1.97029 -3.45844 1.05897 -1.24162 3.54095 3.56937 1.95212 0.217135 3.18972 1.47243 2.37925 
st	op	ed	phy
SITE: 4	5	7	1
SITE: 47	48	50	0
SITE: 17	18	20	0
SITE: 4	7	8	1
SITE: 49	50	52	0
SITE: 39	41	42	0
SITE: 37	39	40	1
SITE: 58	59	61	0
SITE: 4	8	9	0
SITE: 13	15	16	0
SITE: 0	2	3	0
SITE: 12	14	16	0
SITE: 33	34	36	1
SITE: 38	42	43	0
SITE: 13	16	19	0
SITE: 44	45	47	0
SITE: 26	28	29	0
SITE: 19	21	22	1
SITE: 22	23	25	0
SITE: 29	30	32	1
SITE: 9	11	12	1
SITE: 12	17	19	1
SITE: 36	37	40	0
SITE: 54	56	57	1
SITE: 47	49	52	1
SITE: 35	36	40	0
SITE: 26	29	31	1
SITE: 51	53	54	1
SITE: 19	22	24	1
SITE: 13	19	24	0
SITE: 55	58	60	0
SITE: 4	9	10	1
SITE: 25	26	31	0
SITE: 20	24	27	1
SITE: 3	4	10	0
SITE: 52	54	57	0
SITE: 38	40	44	0
SITE: 0	3	6	0
SITE: 1	6	12	0
SITE: 10	12	20	1
SITE: 31	32	35	0
SITE: 25	27	33	1
SITE: 52	57	60	1
SITE: 38	44	46	1
SITE: 25	33	35	1
SITE: 20	25	35	1
SITE: 55	61	62	0
SITE: 0	0	13	0
SITE: 51	55	60	1
SITE: 20	35	38	0
SITE: 38	43	47	1
SITE: 10	13	31	1
SITE: 20	38	46	0
SITE: 47	51	60	0
SITE: 47	60	62	1
SITE: 46	52	62	0
SITE: 20	31	47	0
SITE: 10	46	47	0
SITE: 1	1	47	1
SITE: 10	10	62	1
SITE: 20	63	63	0
SITE: 20	62	62	1
SITE: 20	20	47	1
SITE: 47	47	47	0
MPS Info: -11.5906 0.908631 0.0544397 
Writing MPS done!
