LHHLHHHHLLLHLLHHHLLHLLLLHLHLLHHLHHLLLLHHHLLLLHLLHLLLLLLLLHHHHHHH
W_LIST: 0.510272 0.937583 -2.27136 -3.58104 0.74453 2.63404 -2.67399 -3.74891 1.59586 0.286274 -1.3972 3.38097 -0.235989 -2.04945 -1.56533 -2.97372 2.83276 -4.0527 -3.11627 -1.78229 3.42729 -0.656638 1.41794 2.10943 1.92506 -2.42714 -1.00641 -1.10039 -0.509343 1.31486 -2.36046 -2.83709 2.15344 3.75124 -1.1242 -3.23986 -1.14952 3.894 -3.60207 -3.9567 0.176693 2.55752 -0.416483 -3.90082 -4.2208 -3.22143 -1.07274 -1.05104 -1.11662 -2.92572 1.60717 -3.57294 1.26451 -0.143184 -1.71401 -1.50152 3.38081 2.33229 -1.1608 2.90072 -3.95896 3.72097 3.8136 -0.866435 
st	op	ed	phy
SITE: 49	51	52	0
SITE: 57	59	60	0
SITE: 47	49	50	0
SITE: 52	54	55	0
SITE: 16	17	19	0
SITE: 36	37	39	1
SITE: 18	20	21	1
SITE: 34	35	38	0
SITE: 45	47	48	0
SITE: 48	50	53	1
SITE: 19	21	23	0
SITE: 53	56	57	1
SITE: 24	25	27	0
SITE: 0	2	3	1
SITE: 28	30	31	1
SITE: 8	10	11	0
SITE: 11	13	14	0
SITE: 26	27	29	0
SITE: 8	11	12	0
SITE: 32	33	36	0
SITE: 7	8	12	1
SITE: 36	38	40	1
SITE: 9	14	15	1
SITE: 41	43	44	0
SITE: 58	61	62	0
SITE: 42	44	46	0
SITE: 19	23	24	1
SITE: 7	12	15	1
SITE: 5	7	9	1
SITE: 48	52	55	1
SITE: 9	16	18	0
SITE: 46	48	55	0
SITE: 29	31	34	0
SITE: 45	46	55	0
SITE: 29	32	36	0
SITE: 0	3	4	0
SITE: 39	41	42	1
SITE: 9	18	19	0
SITE: 22	24	28	0
SITE: 22	26	29	0
SITE: 53	57	58	0
SITE: 0	1	5	0
SITE: 40	45	53	1
SITE: 53	55	60	0
SITE: 15	19	28	1
SITE: 29	36	39	0
SITE: 29	39	40	1
SITE: 40	42	58	0
SITE: 6	15	22	1
SITE: 29	40	53	1
SITE: 53	60	62	1
SITE: 4	6	9	1
SITE: 9	22	29	1
SITE: 9	29	34	0
SITE: 4	5	28	0
SITE: 4	28	34	1
SITE: 34	58	62	1
SITE: 4	9	53	1
SITE: 4	53	62	1
SITE: 0	4	62	0
SITE: 0	62	63	0
SITE: 0	0	63	1
SITE: 34	63	63	1
SITE: 34	34	34	0
MPS Info: -3.10253 0.688455 1.71274e-05 
Writing MPS done!
