HHHHLLLHLHHHHLHHHHHHLLLHLLHLHLHLHLLLLHHLLLHHHLLHHLLHHLLHHHHLHLHL
W_LIST: -1.72033 4.25481 0.027412 -1.45874 3.88618 0.583058 -2.35445 1.03986 1.18299 -3.62549 -4.23191 1.36697 -0.208657 -0.717484 -0.472905 2.89953 -3.94737 3.65756 -1.13823 -0.855487 -0.651198 3.02126 2.16845 -0.111466 0.891141 -2.50608 1.00849 -3.4274 -2.73187 -4.30609 2.15295 -2.80612 -3.10898 -0.527675 -3.04332 -0.0405355 -1.7602 -3.4081 -1.86681 -0.92924 0.671234 1.82609 3.9266 2.70122 0.986245 -0.919281 -2.69284 -0.534822 -2.97611 -0.551261 -4.18708 0.000931039 3.456 0.296569 -4.17832 3.2473 2.01819 1.98974 0.904395 -2.86025 -3.0096 0.114849 1.06426 0.149407 
st	op	ed	phy
SITE: 14	16	17	1
SITE: 26	27	29	0
SITE: 0	1	3	0
SITE: 24	25	28	0
SITE: 13	15	17	0
SITE: 9	10	12	1
SITE: 32	34	35	0
SITE: 3	4	6	1
SITE: 45	46	48	0
SITE: 17	18	20	1
SITE: 20	21	23	1
SITE: 42	43	45	0
SITE: 41	42	45	0
SITE: 32	35	36	1
SITE: 36	37	39	1
SITE: 29	31	32	0
SITE: 11	13	14	0
SITE: 2	3	6	1
SITE: 36	38	40	1
SITE: 22	24	26	1
SITE: 0	0	6	1
SITE: 56	57	59	0
SITE: 11	14	17	0
SITE: 26	29	30	0
SITE: 33	36	40	0
SITE: 11	17	19	0
SITE: 6	7	9	0
SITE: 23	26	30	0
SITE: 2	6	8	0
SITE: 2	8	9	1
SITE: 39	41	44	1
SITE: 22	28	30	1
SITE: 51	52	54	0
SITE: 51	54	55	0
SITE: 47	48	50	1
SITE: 56	59	60	0
SITE: 49	50	53	0
SITE: 40	44	47	0
SITE: 22	30	32	0
SITE: 33	39	45	0
SITE: 2	9	11	1
SITE: 32	40	45	1
SITE: 5	11	19	0
SITE: 51	55	56	0
SITE: 5	19	20	1
SITE: 53	56	60	0
SITE: 12	22	23	1
SITE: 5	20	23	0
SITE: 53	60	61	1
SITE: 5	23	32	1
SITE: 2	5	32	1
SITE: 47	51	53	0
SITE: 49	58	61	0
SITE: 32	33	47	1
SITE: 32	47	49	1
SITE: 2	32	45	1
SITE: 12	49	53	0
SITE: 2	12	53	0
SITE: 45	53	62	1
SITE: 2	61	62	0
SITE: 2	62	63	0
SITE: 2	63	63	1
SITE: 2	45	45	1
WARN: Unitary gate is identity
SITE: 2	2	2	0
MPS Info: 12.5911 0.46363 0.46059 
Writing MPS done!
