LLHLHHLLLHHLLHHLLHLLHHLLLHLHHLHHLHHHLHHLHLLLHLLLHHLHLLHLHHHHLHLH
W_LIST: -3.75945 -2.92028 3.13731 -1.01918 4.31157 -0.895521 4.14682 -2.91788 -4.18603 0.574096 -4.05318 0.977247 2.33601 -2.73903 1.99606 0.950018 -3.3395 4.47177 -3.27891 3.99632 3.58777 -0.228803 2.09243 -2.90928 2.05231 2.40462 0.494205 -3.50357 0.341853 -0.0186638 -3.04729 -2.84896 2.04072 -1.18518 -2.39206 -1.73353 -0.125603 1.26281 -2.1873 0.59823 -2.39207 0.227663 -3.0544 0.527392 0.308173 -0.053963 -2.67316 -3.72205 -4.14174 -3.88281 4.04997 2.74313 -1.4674 0.970269 -2.59176 -3.08413 -3.61865 2.21372 -1.85954 -4.10796 -4.42411 0.463514 -1.7306 4.07934 
st	op	ed	phy
SITE: 15	17	18	0
SITE: 46	48	49	1
SITE: 54	56	57	1
SITE: 11	13	14	1
SITE: 7	8	10	0
SITE: 26	27	29	1
SITE: 20	22	23	1
SITE: 2	4	5	0
SITE: 43	44	46	0
SITE: 25	28	29	1
SITE: 32	34	35	1
SITE: 14	16	18	0
SITE: 59	60	62	0
SITE: 18	19	21	1
SITE: 31	32	35	1
SITE: 21	23	25	0
SITE: 40	42	43	0
SITE: 43	46	47	0
SITE: 10	12	14	1
SITE: 26	30	31	1
SITE: 15	18	21	0
SITE: 58	59	62	1
SITE: 9	10	14	1
SITE: 41	43	47	1
SITE: 7	9	14	0
SITE: 1	2	5	0
SITE: 53	55	57	0
SITE: 15	20	24	0
SITE: 26	31	33	1
SITE: 15	24	25	1
SITE: 49	50	52	1
SITE: 29	33	36	1
SITE: 35	37	38	0
SITE: 26	35	36	1
SITE: 47	49	52	1
SITE: 0	0	5	0
SITE: 26	29	38	0
SITE: 52	54	57	1
SITE: 53	58	61	1
SITE: 25	26	38	0
SITE: 21	25	38	0
SITE: 14	15	36	1
SITE: 11	14	36	0
SITE: 52	53	61	1
SITE: 7	21	36	1
SITE: 41	47	51	0
SITE: 51	52	61	0
SITE: 40	45	51	1
SITE: 3	6	7	1
SITE: 41	51	61	0
SITE: 7	36	38	0
SITE: 1	1	7	0
SITE: 38	40	41	1
SITE: 39	57	61	0
SITE: 5	7	38	0
SITE: 39	61	62	0
SITE: 38	41	62	1
SITE: 11	38	62	1
SITE: 5	39	62	0
SITE: 3	5	62	1
SITE: 3	63	63	0
SITE: 3	62	62	0
SITE: 3	3	11	0
SITE: 11	11	11	0
MPS Info: 4.85702 1.19042 0.000219577 
Writing MPS done!
