LHHLHHLLLLHHHHHLHHLLLLHHHHHHHLHHLHHLHLHHLHHHLLLLHLLHHHHLHLHHLHLH
W_LIST: -2.39002 -0.572089 -1.60278 4.60943 2.29114 -1.00379 4.16919 -1.07129 -4.12479 -1.53854 -1.37812 1.13848 -4.56081 -0.838839 -1.21386 1.30931 1.94328 -0.784519 3.44438 0.983619 -0.713417 -0.183747 -2.25548 3.8926 -1.37338 1.42501 0.117514 1.84648 -2.82882 -1.31848 -0.0763381 2.83056 -2.21552 -1.22068 0.0719658 -2.15447 2.90459 -2.86884 -2.96292 4.267 1.56461 0.48466 -0.759911 -3.49223 1.66774 4.09728 3.90209 0.265555 -0.0754313 -4.18004 -4.21615 1.98955 -2.45914 -1.87028 -4.59015 -3.67874 -3.39514 -0.225659 -2.59796 0.678041 2.5656 -3.81403 0.41602 -2.70773 
st	op	ed	phy
SITE: 28	29	31	0
SITE: 3	4	6	0
SITE: 30	31	33	0
SITE: 14	16	17	0
SITE: 55	56	58	1
SITE: 44	45	47	1
SITE: 39	40	42	1
SITE: 46	47	49	1
SITE: 15	18	19	1
SITE: 15	17	20	1
SITE: 23	25	26	0
SITE: 9	10	12	1
SITE: 21	23	24	0
SITE: 54	55	58	0
SITE: 48	50	51	0
SITE: 24	27	28	0
SITE: 32	33	35	1
SITE: 6	8	9	0
SITE: 35	36	38	0
SITE: 0	0	3	0
SITE: 32	35	37	0
SITE: 58	60	61	1
SITE: 48	49	52	0
SITE: 58	61	62	1
SITE: 3	6	7	1
SITE: 14	15	20	1
SITE: 26	28	32	1
SITE: 9	12	13	1
SITE: 22	26	30	0
SITE: 44	46	51	1
SITE: 21	22	30	1
SITE: 41	43	44	1
SITE: 24	32	34	0
SITE: 34	38	39	1
SITE: 13	14	20	1
SITE: 39	42	44	1
SITE: 41	44	51	1
SITE: 30	37	39	0
SITE: 52	54	57	1
SITE: 13	20	21	0
SITE: 1	3	5	1
SITE: 13	19	24	1
SITE: 13	24	30	1
SITE: 51	52	57	1
SITE: 7	9	13	0
SITE: 48	51	57	0
SITE: 57	58	62	1
SITE: 7	13	21	1
SITE: 1	2	7	1
SITE: 34	39	48	0
SITE: 5	7	21	0
SITE: 1	5	21	1
SITE: 41	53	57	1
SITE: 21	30	41	0
SITE: 48	57	62	0
SITE: 21	34	48	0
SITE: 41	59	62	1
SITE: 21	41	62	1
SITE: 11	48	62	0
SITE: 1	11	62	1
SITE: 1	63	63	1
SITE: 1	62	62	0
SITE: 1	1	21	1
WARN: Unitary gate is identity
SITE: 21	21	21	0
MPS Info: 9.01763 0.44552 0.0192246 
Writing MPS done!
