HLLHLHLHLLLHLHLHLLLHHHHHHHHLHLHLHLHLHLHLHHHLHLLLLLLLLLLHLLHHLHLH
W_LIST: 0.541853 -0.717476 -2.00757 -2.22275 2.88924 -1.46881 2.43636 0.555295 -1.90987 1.50706 -2.1159 0.69606 0.144107 -2.37972 -2.58919 -3.96187 3.79077 1.81232 -0.810494 0.247612 -0.925774 2.32924 3.82647 -0.775104 -3.2394 -0.166813 0.00883007 3.36822 0.341184 1.40706 -3.64289 -3.9345 2.23684 -1.29749 3.38331 1.60605 1.95182 1.42688 -2.28688 -1.22596 -1.69181 3.55997 3.23838 -2.29379 0.524754 2.13678 -3.37604 -2.83389 -2.21286 3.12773 3.60085 3.20807 -3.9113 -0.106831 1.73523 2.27391 2.50453 -3.11571 -3.12891 -1.91401 2.69371 2.7079 -1.79852 -1.72955 
st	op	ed	phy
SITE: 45	46	48	0
SITE: 14	15	17	1
SITE: 12	14	16	0
SITE: 31	32	34	0
SITE: 33	34	36	0
SITE: 20	22	23	0
SITE: 55	57	58	0
SITE: 8	10	11	0
SITE: 17	18	20	0
SITE: 1	3	4	1
SITE: 50	52	53	0
SITE: 42	43	45	0
SITE: 5	6	8	1
SITE: 30	31	35	0
SITE: 25	27	28	1
SITE: 19	21	23	0
SITE: 30	35	36	1
SITE: 56	58	60	1
SITE: 20	24	25	1
SITE: 29	30	36	1
SITE: 5	8	9	0
SITE: 25	26	29	1
SITE: 19	23	25	1
SITE: 1	2	5	0
SITE: 33	36	38	0
SITE: 17	19	25	0
SITE: 33	38	39	1
SITE: 11	13	16	1
SITE: 28	29	37	1
SITE: 28	33	39	0
SITE: 1	4	7	1
SITE: 41	42	45	0
SITE: 50	51	54	1
SITE: 44	45	48	1
SITE: 59	61	62	0
SITE: 55	56	60	1
SITE: 41	47	48	0
SITE: 53	54	59	1
SITE: 37	40	41	1
SITE: 17	25	28	1
SITE: 37	41	44	0
SITE: 55	60	62	1
SITE: 5	9	11	1
SITE: 1	5	11	1
SITE: 16	17	28	1
SITE: 28	39	44	0
SITE: 49	50	55	1
SITE: 0	0	11	0
SITE: 7	11	16	0
SITE: 28	37	48	1
SITE: 16	28	44	1
SITE: 48	49	55	1
SITE: 44	48	55	0
SITE: 44	55	59	0
SITE: 16	44	53	0
SITE: 1	12	16	0
SITE: 16	53	59	0
SITE: 16	59	62	1
SITE: 1	16	20	1
SITE: 1	7	62	0
SITE: 1	63	63	1
SITE: 1	62	62	0
SITE: 1	20	20	1
WARN: Unitary gate is identity
SITE: 1	1	1	0
MPS Info: -8.32913 0.920279 0.0174443 
Writing MPS done!
