LHHLLHLHHHLHLLLLHHHLLHLLHLHHLHLLLHHLLHLHLLHHLHLHHHHHLHLHLLLHHHLH
W_LIST: -3.75977 2.65533 1.2012 3.34396 -0.123892 1.73317 -3.59334 -0.403287 3.15752 1.27873 0.0725065 2.98052 -2.07906 -1.92187 2.25143 0.475573 1.27415 2.23005 -0.874759 3.17084 -0.839319 1.91904 3.34026 3.6708 -3.2227 3.52698 -1.34509 -2.64096 -0.422777 2.63774 -3.20776 3.8901 2.47447 3.18519 -3.60194 0.101115 0.997718 3.94015 -3.73692 2.60539 0.524695 -2.27284 -2.52456 1.64998 -3.63889 -0.79282 -2.07246 -0.609934 0.310754 3.75787 1.60916 -2.44718 -1.48359 -1.07195 2.37654 3.53415 0.733824 -2.86136 -2.60508 -3.70821 2.83399 -2.25258 3.20993 1.96847 
st	op	ed	phy
SITE: 5	6	8	0
SITE: 38	39	41	0
SITE: 11	12	14	0
SITE: 59	60	62	0
SITE: 13	14	16	1
SITE: 11	13	16	0
SITE: 1	3	4	1
SITE: 11	16	17	0
SITE: 21	23	24	1
SITE: 44	46	47	0
SITE: 34	36	37	1
SITE: 40	42	43	1
SITE: 32	34	35	1
SITE: 15	17	19	0
SITE: 9	11	15	0
SITE: 24	25	27	1
SITE: 29	31	32	1
SITE: 51	52	54	0
SITE: 35	37	40	0
SITE: 19	21	22	0
SITE: 44	47	48	1
SITE: 58	59	62	1
SITE: 9	10	18	1
SITE: 7	8	15	0
SITE: 29	30	33	0
SITE: 45	49	50	0
SITE: 19	22	24	1
SITE: 26	27	29	1
SITE: 1	4	5	0
SITE: 41	44	45	0
SITE: 18	19	24	1
SITE: 56	57	61	0
SITE: 54	55	58	0
SITE: 26	29	32	0
SITE: 56	58	62	0
SITE: 45	50	51	0
SITE: 48	51	54	1
SITE: 9	18	20	1
SITE: 26	32	33	1
SITE: 20	24	28	1
SITE: 33	38	40	0
SITE: 26	33	35	0
SITE: 2	5	9	0
SITE: 45	48	54	0
SITE: 7	9	20	0
SITE: 53	54	61	1
SITE: 7	20	26	0
SITE: 40	41	45	0
SITE: 2	7	26	0
SITE: 26	35	40	0
SITE: 43	53	56	1
SITE: 1	2	26	0
SITE: 40	43	56	0
SITE: 28	40	56	1
SITE: 28	56	61	1
SITE: 1	26	28	1
SITE: 0	0	28	0
SITE: 15	28	61	0
SITE: 1	1	61	0
SITE: 15	61	62	1
SITE: 15	62	63	1
SITE: 15	63	63	0
SITE: 15	15	45	1
SITE: 45	45	45	0
MPS Info: 0.58034 1.01787 0.012567 
Writing MPS done!
