LLHHLLLLLLHHLLLHHHLLLHLHHLHLHLHLHHLHLHLLHHLHHHLHLHHLLLHLHLHHHLHH
W_LIST: -5.10379 -5.01162 1.47977 3.00959 -3.09852 -3.15099 -0.666109 4.76798 -1.94329 0.048139 1.19617 -3.45416 -3.25285 -1.91269 4.52329 2.2524 0.133589 -4.43204 -3.9216 1.70129 4.33401 -1.35487 1.09753 -2.13924 2.39189 1.9343 -3.04294 1.29825 -1.64495 3.2584 -2.32578 -3.72603 2.96742 -0.0692538 -0.0316774 4.66658 -2.68634 -2.51776 4.29386 0.234771 3.17099 -4.62406 2.46821 0.453368 -0.0836359 2.79089 0.416533 1.66964 1.98822 -2.76175 -0.675583 -1.27373 4.79147 -1.46228 -1.25532 -0.169017 1.80214 3.20984 -0.730878 1.17986 -4.68634 -2.02952 0.708092 3.86107 
st	op	ed	phy
SITE: 3	5	6	0
SITE: 32	33	35	1
SITE: 8	10	11	0
SITE: 44	45	47	0
SITE: 44	47	48	0
SITE: 15	17	18	1
SITE: 55	57	58	1
SITE: 9	12	13	0
SITE: 51	52	54	1
SITE: 31	32	35	0
SITE: 21	23	24	1
SITE: 48	49	51	1
SITE: 0	0	3	0
SITE: 19	20	22	1
SITE: 40	41	43	1
SITE: 19	21	24	1
SITE: 1	1	4	0
SITE: 6	7	9	1
SITE: 18	19	24	1
SITE: 29	31	34	0
SITE: 50	53	54	0
SITE: 37	38	40	1
SITE: 42	44	46	0
SITE: 25	26	28	1
SITE: 37	40	42	0
SITE: 22	24	27	0
SITE: 15	18	22	0
SITE: 51	54	56	1
SITE: 11	14	15	1
SITE: 39	42	46	1
SITE: 30	35	36	0
SITE: 15	22	25	1
SITE: 51	56	58	0
SITE: 2	3	6	0
SITE: 13	15	25	0
SITE: 34	37	39	1
SITE: 39	46	48	1
SITE: 8	11	13	1
SITE: 55	59	60	0
SITE: 9	13	25	0
SITE: 9	25	27	1
SITE: 27	29	30	1
SITE: 8	16	27	0
SITE: 34	36	43	0
SITE: 34	39	48	0
SITE: 43	48	51	1
SITE: 4	8	9	0
SITE: 9	28	30	1
SITE: 9	30	34	1
SITE: 58	60	62	1
SITE: 4	9	27	1
SITE: 43	51	55	0
SITE: 4	6	34	0
SITE: 27	34	50	1
SITE: 50	58	61	1
SITE: 50	61	62	0
SITE: 4	27	50	1
SITE: 4	50	55	1
SITE: 4	43	62	1
SITE: 2	2	62	0
SITE: 4	63	63	0
SITE: 4	4	62	0
SITE: 55	62	62	0
SITE: 55	55	55	0
MPS Info: -3.97907 0.627692 0.0169073 
Writing MPS done!
