HLLHHLLLLHLLLLHHHHHHHLHHLHLHLLHHHLLHLLHLLHLLLLHLLHLHHLLHHHLLHLLL
W_LIST: 1.15023 -1.50395 -1.04979 -2.26211 0.146173 -0.352248 3.82366 3.19598 1.98776 -4.00641 -4.25332 -2.8834 4.1867 -1.7983 0.402691 0.029823 -5.15892 3.66733 -1.27266 3.76414 -0.974392 -0.791109 3.64106 1.63654 1.06357 0.192175 -1.38246 -2.86811 -1.83582 -2.43037 1.78044 2.2264 1.02804 1.05071 -0.444399 2.95808 -0.259712 -3.88859 -4.72967 -3.47174 1.72602 3.24615 0.362124 0.772444 -1.1239 4.72395 4.73972 0.226536 -3.37752 3.39194 -1.17319 -4.68541 4.73177 2.2941 4.23491 1.47835 0.693487 1.94088 -5.26375 -5.26466 1.34496 -0.603868 1.95942 3.4525 
st	op	ed	phy
SITE: 3	5	6	0
SITE: 32	33	35	1
SITE: 19	20	22	1
SITE: 31	34	35	0
SITE: 19	22	23	0
SITE: 25	27	28	1
SITE: 38	39	41	0
SITE: 40	41	43	0
SITE: 51	52	54	0
SITE: 50	51	54	1
SITE: 15	16	18	1
SITE: 17	19	21	0
SITE: 55	57	58	0
SITE: 36	38	40	1
SITE: 11	12	14	1
SITE: 21	23	25	0
SITE: 17	18	24	1
SITE: 1	3	4	1
SITE: 43	45	46	1
SITE: 50	54	55	1
SITE: 59	60	62	0
SITE: 21	24	26	1
SITE: 13	14	17	0
SITE: 7	9	10	1
SITE: 25	26	29	0
SITE: 53	55	58	0
SITE: 32	35	37	0
SITE: 43	46	47	0
SITE: 48	49	53	0
SITE: 0	1	4	0
SITE: 40	43	44	1
SITE: 47	48	53	0
SITE: 0	0	6	0
SITE: 47	53	56	1
SITE: 7	10	11	0
SITE: 25	29	30	0
SITE: 4	6	8	1
SITE: 17	21	28	0
SITE: 17	28	30	0
SITE: 58	59	62	0
SITE: 11	13	17	0
SITE: 17	30	31	0
SITE: 25	31	36	0
SITE: 7	11	15	0
SITE: 40	44	47	0
SITE: 25	32	37	0
SITE: 56	58	62	0
SITE: 4	7	15	1
SITE: 4	8	17	1
SITE: 40	47	50	1
SITE: 25	37	40	0
SITE: 42	50	61	0
SITE: 25	40	42	1
SITE: 4	17	25	0
SITE: 25	36	56	1
SITE: 25	56	61	0
SITE: 4	25	42	0
SITE: 2	4	42	0
SITE: 15	61	62	0
SITE: 2	2	62	0
SITE: 15	63	63	1
SITE: 15	62	62	1
SITE: 15	15	42	1
SITE: 42	42	42	0
MPS Info: -3.99935 1.06588 0.00276741 
Writing MPS done!
