HHHHHLLHHHHHHLLHHHHLLLLLHLLHHHLLHLHLHHLLLLHLHHLLHLLHHLLLHHHHLHLH
W_LIST: 2.28835 1.72977 2.5633 3.47606 1.53899 -2.08103 3.27203 2.85201 -2.47486 -0.408235 0.240239 1.11191 2.9636 -0.997574 3.53848 -4.86825 0.433512 -3.5971 -4.05005 -3.11591 4.50681 3.15525 0.125726 -3.91299 2.42527 -1.34273 -0.419084 -0.0525917 -3.17192 0.388211 -1.45605 1.25339 -1.88761 -1.76951 -3.33345 1.6586 -4.59334 -2.82437 -3.93441 2.56267 2.27122 5.03761 -3.72047 3.00598 2.25428 -3.06464 3.02206 0.784772 1.7023 3.82774 -4.65647 3.41283 4.31386 -3.39131 0.0264864 2.34989 3.59294 3.71821 -5.01386 2.9237 0.924046 -1.28428 0.0587244 0.592485 
st	op	ed	phy
SITE: 28	30	31	0
SITE: 10	12	13	0
SITE: 9	11	13	0
SITE: 7	8	10	1
SITE: 26	28	29	1
SITE: 57	58	60	1
SITE: 51	52	54	0
SITE: 34	36	37	1
SITE: 57	59	61	0
SITE: 26	27	31	1
SITE: 5	6	9	1
SITE: 56	57	61	0
SITE: 1	3	4	0
SITE: 19	20	22	1
SITE: 33	34	37	1
SITE: 24	25	29	0
SITE: 15	17	18	1
SITE: 53	55	56	1
SITE: 23	24	29	0
SITE: 13	15	16	1
SITE: 45	46	48	1
SITE: 35	38	39	0
SITE: 33	37	39	1
SITE: 48	50	51	0
SITE: 43	45	47	1
SITE: 1	2	5	0
SITE: 23	29	31	0
SITE: 44	48	49	0
SITE: 13	14	18	1
SITE: 47	49	53	1
SITE: 1	5	7	0
SITE: 7	9	13	1
SITE: 35	39	41	1
SITE: 35	41	42	1
SITE: 23	31	32	1
SITE: 13	18	19	1
SITE: 16	19	22	0
SITE: 35	42	43	1
SITE: 0	0	7	0
SITE: 33	40	43	1
SITE: 56	61	62	1
SITE: 51	53	56	0
SITE: 4	7	13	0
SITE: 43	44	51	0
SITE: 16	21	23	1
SITE: 47	51	56	0
SITE: 33	43	47	1
SITE: 22	23	32	0
SITE: 16	22	32	1
SITE: 10	13	26	0
SITE: 26	32	35	1
SITE: 1	4	16	0
SITE: 10	16	33	1
SITE: 54	56	62	0
SITE: 26	33	47	0
SITE: 1	1	35	0
SITE: 10	35	47	1
SITE: 47	60	62	1
SITE: 10	47	54	1
SITE: 10	10	62	0
SITE: 26	63	63	0
SITE: 26	62	62	0
WARN: Unitary gate is identity
SITE: 54	54	54	1
WARN: Unitary gate is identity
SITE: 26	26	26	0
MPS Info: 13.249 0.414916 0.036466 
Writing MPS done!
